,X_sentences,Y,Y_decision,Y_confidence
19,"What does Kenny have to do with the conversation?

Was he ever PM of Canada?",0,-11.003051225912667,11.003051225912667
26,"Such a beautiful aircraft unfortunately the Euro-fighter flies faster and turns  tighter like an air superiority fighter is supposed to. The Russian Yak now being fielded is faster, turns tighter and can do a a 360 in three wing spans, the Chinese stole the F-35 plans and made it faster than ours. So what is this dog going to do to enhance our safety? They also plan on building more F-22's as it has better dynamics than the multi-role F-35 series. We need new generals in all the services.",0,-10.485982670082002,10.485982670082002
6,"Blind to the past when we lack a forensic audit, despite clear warning flags. Blind to the future because: (1) we lack the detailed spreadsheet projections the mayor has and will not release because it's 'pre-decisional' - if that is even a word - along with other materials similarly classified; (2) we have no detailed disclosure of O&M costs along with related ridership fare recovery revenues; (3) we have no clear idea of the costs to complete due to huge past discrepancies and multiple guess terminus sites; (4) unclear FFG status; (5) conflicting budgetary demands and constrained revenue resources in the state and city requiring finding new revenue sources; and (6) what numbers were included in the recent presentation to the legislature were inadequate (at least to me - and I used to do those kinds of presentations asking for funding). If I was a decision maker, I'd say no funding until more clarity is created. So am having difficulty seeing how GET is the best funding choice.",0,-9.876865290574088,9.876865290574088
38,"It is possible that Z could be a good priest for a particular type of Catholic, but not for most Catholics.  Most Catholics are not orthodox.  In this country most believe contraceptives are just fine, LGBTQi people should be able to marry, women priests would be fine, Mass every so often rather than weekly is fine, going to confession is really only necessary occasionally.  People don't practice the faith in an orthodox way but that doesn't mean they have lost faith in Jesus.  They just don't think all the practices are necessary.  

Create a priesthood of the orthodox and you will have the smaller, purer Church of BXVI's dreams.   It just won't be fulfilling the commission that Jesus gave to the disciples and apostles.",0,-8.36950425054663,8.36950425054663
24,"Then Martin should dip into Canada Steamship Lines and make the payout being he took advantage of the loophole he left himself so he could flag his ships in the Bahamas and not pay its fair share of Canadian taxes and follow Canadian labor codes.

Paul Martin and CSL haven't paid their fair share of taxes since the Chretien yeas.

This is yet another slap in the face of Canadian tax payers and victims of terrorists courtesy of Liberal governments.",0,-8.255771758379346,8.255771758379346
40,"The ""can opener"" clinches it.",0,-8.254529098072265,8.254529098072265
1,"And who, by race is committing those crimes please...",0,7.314015719732134,7.314015719732134
41,The question is going forward.... who will buy US debt if the Chinese are selling it? I think they are being forced to raise rates to attract buyers.,0,-7.145687460565055,7.145687460565055
7,"With so many other candidates to choose from, why did the DNC so favor Trump that they even manipulated delegates at the convention to help him win the nomination?  With the deterioration of the campaign to a C-level soap opera, a possible answer occurs:  while conservatives brag so much about reducing the size of government, their logical first step is the elimination of their own party.",0,-6.519780358754135,6.519780358754135
28,"How many are not working for the country? The better question, I think, is are they having trouble recruiting?
I'd like to see the lower wages raised and the higher wages kept pretty much where they are. $12 an hour for a custodian would mean a wage might be poverty for person with one child.",0,-6.405639576508558,6.405639576508558
