,X_sentences,Y,Y_decision,Y_confidence
7990,Couldn't get into this. Not to say you would not like it.,1,"[5.723667678590064, 2.633378229968814, -0.11870347143024529, -1.0232600803724465, -2.326920417025816]",5.723667678590064
9064,I really could not get into this one. I think I just didn't relate to the characters.,2,"[5.48861266954066, 3.160628815161555, 0.2888656783323178, -1.0459995650190816, -2.580268532796241]",5.48861266954066
2997,"I've read reviews where someone mentions they hate the characters therefore they hate the book. Ive always thought its a story. If it's well written and you hate the characters it can still be a good book. Thus, the problem with this book. It is not well written. It is boring. The guys a wimp. I made it 70% and can't take another boring page.",1,"[4.9629438540985795, 3.3112972361378468, 0.2624547544901539, -1.0615038209751801, -2.0840280592238623]",4.9629438540985795
1050,I read only about a quarter of the book and found it was of no interest to me.,2,"[4.750608501859306, 3.69503220004494, 0.9242721028657317, -1.0396631836687744, -3.5276807623558444]",4.750608501859306
7169,Lost interest !,2,"[4.29997418587766, 0.37948236029417326, -1.1624795792216858, -1.089470548833098, -0.1661866161557355]",4.29997418587766
1469,"Got really sick of this book and fast... It just real,y bugged me for some reason and I felt that the characters were kind of immature",0,"[4.182195916866285, 2.29922141462458, 0.4369959229066658, -1.0395454649219178, -2.117722813077971]",4.182195916866285
6954,Not the usual Deaver book.,3,"[4.176530853460561, 0.7989801000773542, 0.04889667843435874, -1.024628623277351, -1.8585669491973622]",4.176530853460561
7051,"You know you have those books that you shouldn't like because the writing is poor, the writer is trying too hard to be funny that it comes out pathetic, and the main character is a idiot and not in a sweet way?  That's this one.",3,"[4.138312900187937, 2.6107275116501247, 0.15565866975924592, -1.0681639164917816, -1.7355598725202281]",4.138312900187937
7072,"This authors writing is okay not great. When I one click I want great.
I will not one click this authors books no more.
If you are looking for a good book save your money
check out Siobhan Davis, Melissa Toppen, RJ lewis, Mary Elizabeth, M. Robinson, There are to many free books to choose from then to waste money on books that should be free to download with kindle unlimited.
When I one click I want something that does not drag, something that pulls me in, Something that keeps me into it and not skip through hoping the book picks up,  and this book did not do that
It was a good idea for a plot, just dropped,
There are 69 critical reviews always check critical reviews before one clicking. I learned my lesson.
It is young, The writing was childish. It is like the writing was all over the place.
And I absolutely hate a book, where the characters go back and fourth til the end, I can not connect with the characters.
It was to much stupidity, I did not finish this book. The worse part is I did not start the book til 10 days after one clicking so I am stuck with something I did not like because I can not refund it.
I do not like cheating. These characters are just so young, you would think they was in middle school. Actually middle school students probably are more mature then this.
I will never one click this authors books again.
If she participated her books free with kindle unlimited, I would check them out, maybe her writing style will change. But I would never one click something from this author again.
The characters actions does not make since to unbelievable .
The whole book just went down hill!",0,"[4.034241104023262, 1.929554451651181, -0.10663637749678767, -1.0589258243464577, -1.449709923290311]",4.034241104023262
9364,Did not catch my interest.  Tried first episode 3 times.,1,"[3.966715726697013, 1.422745833177017, -0.18001020674159462, -1.0403382298293744, -1.8630636841720571]",3.966715726697013
4451,Not worth the time it took to read.,0,"[3.9661615389704115, 2.439669954123784, 0.47472788363805174, -1.0419553789163145, -2.7541314650340363]",3.9661615389704115
6660,Book did not hold my interest and after 3 chapters I never finished it.,0,"[3.7602145825339996, 1.9138055738078514, 0.14328433085366754, -1.0548946533917698, -1.8624449843458342]",3.7602145825339996
8513,Didn't reaaly care for this,0,"[3.757074691822584, -0.1780561788813353, -0.8374505745185045, -1.028240439823848, -0.8154659908123794]",3.757074691822584
9895,"I cannot believe this bad design is the #1 selling utility knife right now.  I hated this every time I used it.  It is awkward to insert the blade, the handle is not comfortable, and worst of all the blade slider is hard to press to make the blade extend and retract.  I used this for a couple years before finally throwing it in the trash today.  I ordered a Bessey D-BKWH utility knife to replace it, hopefully that one is better.",0,"[3.749902106558093, 0.5833251722046671, 0.15428770755984877, -1.0071578747913328, -2.3354757959039905]",3.749902106558093
