,X_sentences,Y,Y_decision,Y_confidence
200,"From reading the publishers reviews of this title, I expected Dismantled to be riveting. Although it is well-plotted for the most part and moves towards a ""frightening"" conclusion, McMahon asks a lot from her readers and expects a high degree of naivet. Between the oddly-prescient nine-year-old Emma De Forge, Emma's invisible sidekick, Danner, and the four college students who style themselves ""the Compassionate Dismantlers"", complete with manifesto, there are lots of misdirections in the story. On the face of it, the Compassionate Dismantlers are college rebels who indulge in petty pranks and criminal behavior on behalf of their beliefs, gathering at a remote Vermont cabin, where tragedy strikes one harrowing night, leaving the group with a dark secret.

In the near-decade since the group disbanded, Emma's parents, Henry and Tess, find their marriage floundering, the past weighing like a stone on the present. Suddenly it all becomes real again in the form of a postcard, Henry and Tess convinced their rural property is haunted by the dead. Emma begins snooping into her father's hidden papers at the instigation of her goofy school friend, Mel, the girls convinced the key to bringing the couple together lies in awakening the past. Emma's other friend is invisible; Danner tells secrets to Emma, their conversations increasingly troubling as evidenced in Emma's erratic behavior. Danner comes to life in the form of a rag doll Emma makes from scraps. The farm is literally crawling with malevolent characters, real and imagined, including a private detective who has been hired to dig into the suspicious activities of the Compassionate Dismantlers years ago at the cabin in Vermont.

What was most difficult for me to imagine is a group of art students embracing the concept of Compassionate Dismantlers- clumsy at best, ridiculous at worst. The leader of the group, Suz, is basically a sociopath who dresses in silk tunics, leotards and combat boots and has a grating penchant for calling everyone ""babycakes"". I really wanted this book to be more exciting and less middle-school scaring each other with horror stories. And I wish Emma wasn't so weird, regardless of her OCD. This book is perfect for a YA audience. But for grown-ups with a taste for Dan Simmons, Dismantled doesn't make the grade. Luan Gaines/2010.",2,"[-2.1289806509303775, -1.6027723181464384, -1.210118636437313, -1.0071458029223366, -0.8969326574080831]",-0.8969326574080831
5572,"4.5 stars You could think: another sportsman in the closet and we know how it will end.
No....it was wrapped in a different paper. Kind, lovely and spanky dominating.
Sebastian a professor at the uni where Tristan follows a study besides his prof ice hockey career.
Grumpy professor and the ideal student. Sebastian in his thirties and Tristan a lot younger.

They started in a bad way with wrong assumptions Still the attraction coming from both sides. After the sky cleared and they are communicating much better they wait for a real date after Tristan finished his study. And then the heat is on. They started as a fling but within no time they spent all their time together.

Controlling and dominating Sebastian was a lust for my eyes. He was very tuned toward Tristan.
Tristan fit well in Sebastian's hands, especially his cheeks. (All four ;)
All the ingredients for a great story were there and all of them worked.

Tristan has fears to come out but his fear to loose Sebastian has to be bigger, if he wants Sebastian to hold on to their relationship, even if they love each other.

The whole story was steady, strong, lovely and together the men were hot.
I enjoyed it very much and only stopped reading when it was a necessary.
Everything past the revue, friends, colleagues, family and teammates....
Attractive way of writing it had a lot of feelings in the most appealing way.

Kindly received an ARC from the publisher through Netgalley.",4,"[-3.6394218531255564, -1.3454997439796241, -0.8971444489897584, -0.9965322671128082, -1.6505790337084352]",-0.8971444489897584
7052,"I received a copy of this book in exchange for an honest review for Stephanie's Book Reports.

Breach is the first book in K.I. Lynn's Breach Series. It is a story that is complex and a little on the dark side.

Lila isn't living she is only existing. She has had a terrible past that no child should every have to live through. She was told daily just how worthless she was and that no one would ever want her by her father and his other family and it stuck with her and she has never overcome this.  She has a job as a lawyer and loves it as she transposes contracts and doesn't have to deal with people which suits her just fine. Until the day a new guy is hired and they have to share an office. From the second Lila and Nathan's eyes meet they each know that the other is truly not living. Nathan's past is mainly the big mystery in the book and it is pieced together as you read the book. As their attraction grows  Nathan fights it with everything he has as he feels no one should ever get attached to him. He will only cause them harm and his taste in the physical sense are on the extreme side. However together Delilah and Nathan can either heal or only cause each other more harm. Which will end up being the result?

This book had me from the very beginning. Lila's story will break your heart into a million pieces. I can not even imagine how someone can treat their child the way Delilah has been treated. And she has taken all the negative things and believes them just as anyone would. Nathan on the other hand is a bigger mystery but I loved him. He captured my heart and as a couple I loved them together but knew they needed some serious help if they were ever going to make it. This book is filled with hidden secrets and mystery and some pretty dark things that have happened. And there is a lot of scorching moments from the beginning of the book. It is a lot but I didn't let that distract from the story because I understood why it was happening so much. You will too when you read the book so don't let that make you put the book down.

Breach is a book so worth reading and the second you are done you will want to dive into Infraction. K.I. Lynn has created two characters your not soon to forget.",4,"[-2.3550564249959383, -1.5537583899616865, -1.0304198945939629, -1.035866323259817, -0.8972593407847471]",-0.8972593407847471
9335,"Synopsis: What's an attractive, motivated, upwardly mobile newscaster and supposed to do when confronted with the possibility of death? While doing an on-the-street interview with Prophet Jack (Tony Shalhoub), one of Seattle's local street derelicts and self-proclaimed prophet Lanie Kerrigan (Jolie) is told she's going to die within a week. When Prophet Jack's other predicts come true Lanie becomes a believer and finds herself re-evaluating her life and set things in order while there's still time.

Critique: `Life Or Something Like It' is a surprisingly good though obscure little romance/comedy from '02 starring Angelina Jolie and Edward Burns. This is a very different role for the sexy Angelina showing a comedic, vulnerable side that I haven't seen before. Edward Burns also delivers a rather subdued but strong role as her cameraman, nemesis and potential love interest Pete. Tony Shalhoub has a small but important part as Prophet Jack, adding a certain quirkiness and surreal quality to the film that works extremely well.

My Rating: The storyline is ultimately predictable but the journey to get there is lots of fun; -4 Stars-.",3,"[-2.060064995998107, -1.0060655727614196, -0.8973489607240442, -0.9920851529034559, -1.2276049127890551]",-0.8973489607240442
1077,"More Fool's Gold shenanigans, means more to love!  Do yourself a favor and start reading the series.  It really doesn't matter where you start",4,"[-2.070856062695168, -0.9946653145136348, -1.2599964728369688, -1.051583764285627, -0.8977528999544352]",-0.8977528999544352
8428,"Four stars for the story. I love the characters. But the constant miss spellings, uses of the wrong words or extra words interfere with the flow.
The fourth book is due out soon and I seriously hope the author got an editor. Because it is a good story and I would give it five stars if not for the many errors and need for editing
Still, recommend it.",3,"[-3.2566524189821573, -1.3151931599428612, -0.897888836049203, -1.0044627605494167, -1.0359098245022176]",-0.897888836049203
3119,"This is a well-researched book that takes advantage of numerous in-depth interviews with people who are or were close to Obama - both friends and enemies - that shed a not-so-flattering look of Mr. Obama.  I am amazed at the level of details presented, and it is rather sad our mainstream press doesn't jump all over even one of these detailed facts: if the shoe had been on the other foot with their favorite whipping boy Bush, Obama wouldn't have a snowball's chance in this election. As it is, those who control the press are pushing their agenda.

If you want to read a well-researched and factual book about Obama, I encourage you to read this prior to the election.  If you've already made your mind up and are believing the tales after having a healthy dose of the kool aid, save your time and money to pass this one up.",4,"[-1.2587740720357485, -0.8979727448992019, -1.2547382662638242, -1.0127773116390937, -1.1252894919087941]",-0.8979727448992019
754,"The Wedding Girl is a Sophie Kinsella novel, with Kinsella writing as, Madeline Wickham.  The story starts off with Milly on her wedding day marrying in Oxford.  Flash forward to ten years later and all things have changed!

I won't reveal more than that, other than this kept me on the edge of my seat.  I could not figure out how Milly would resolve her dilemmas and how the other characters would resolve their issues.

I loved all the characters, especially Milly's relationship with her sister, Isobel.  The only thing that I would like to know more about was, Esme, Milly's godmother.  But that would probably be another story. Suffice it to say the Esme has issues!  This is a really great and fun read which takes a look at many different relationships.",4,"[-2.484504004039093, -1.379504318738565, -1.0569616561182773, -1.0292088156627788, -0.8981040671379995]",-0.8981040671379995
9706,"We used this to keep 2 half-husky puppies full-time in from the age of 3 weeks up to 5-6 months. Even now, that they are 16 months old and almost fully-grown, they are spending the night in the crate, voluntarily.

The crate was WERY easy to unfold and set up, the wires are strong and the 2 doors are most convenient. They allowed us to set it up in a such a way that one door was opens permanently against a regular, wooden dog house while the other door is the exit. This way, the 2 have a 2-room apartment with full privacy in the dog house while the crate serves as the dining room/living. It's working very well. I would call it a comfortable apartment.

The only issue I have is the bottom tray. While it's convenient and allows for easy cleaning, the plastic is thin and, eventually it cracked. To my surprise, the tray did not completely fall apart. We are still using it and I now expect it to last in this condition for quite a while longer. Overall I am very happy with this product's durability.

As a first-time buyer, I consider myself lucky for getting the 2-door model, because I did not know what to look for at the time. My advice would be to anyone to go for the 2-door model. I don't believe that the price difference is that great and the extra door just MIGHT be useful or needed some day. If not, it's just there and it won't be noticed.",4,"[-1.1235035029752924, -1.6283670592311765, -1.3166639899672938, -1.0258548743036398, -0.8984310460816749]",-0.8984310460816749
691,"The Orphan Master's Son is a story about stories--in this case the stories the people of modern North Korea must make themselves believe in order to survive, stories that the government propagates about the Dear Leader, about how lucky citizens are to live in the glorious DPRK, about the sad state of life in America, even stories about individual citizens. One character says, ""Where we are from...stories are factual....For us, the story is more important than the person. If a man and his story are in conflict, it is the man who must change.""

We get to know this closed-off, dystopian society through the story of the life of Pak Jun Do (John Doe), a kind of North Korean Everyman. In somewhat Forrest Gump style, he variously becomes a tunnel fighter under the DMZ, a government kidnapper of foreigners, an English-language government listener on board a fishing boat, a member of a diplomatic mission to Texas, a miner as a prisoner in a prison camp, an impersonator of a famous General, and a love rival of the Dear Leader, Kim Jong Il. It is through his eyes and the eyes of his government interrogator that we see North Korea, as it is imagined (backed by research) by the author.

Even if the novel were not set in a country that is of particular interest to the U.S. right now, it would be riveting because Johnson is an extraordinary storyteller. In fact, if it had been set in an entirely imaginary place I might have enjoyed it more, because I kept being distracted from the story and its implications by wondering how close the details of life were to fact.

I am not so naive that I don't realize that America propagates its own stories about the glorious life in the Land of the Free and the Home of the Brave and about the sad state of life in other nations which don't choose to follow our example. Still, I agree with this book's continuation of the above quote: ""But in America, people's stories change all the time. In America, it is the man who matters.""

Johnson has given us a compulsively readable and suspenseful story filled with adventure, terrible scenes of torture, and touching scenes of love and sacrifice. In tone it is somewhat satirical (especially in its depiction of the Dear Leader). He won the 2013 Pulitzer Prize.",4,"[-2.373534458611617, -1.5428145919090914, -0.8985952928712985, -1.0107319237888317, -1.2022435383968797]",-0.8985952928712985
6007,The Borrowed Boyfriend by Ginny Baird made me laugh and smile through the book. At first I was a little skeptic about the whole borrowed boyfriend theme. But it works and it's very well written with nice romantic scenes. Love the main characters. All in all a great story. I received a free copy in exchange for an honest review.,3,"[-2.6323935835361576, -1.3995756181320091, -0.8987241185382437, -1.0478084812956865, -0.9835737885530852]",-0.8987241185382437
2246,"The Great Kahn is dead and there is political maneuvering and in-fighting to see who will succeed him and lead. A view into Tatar life, the top of the world and the Chinese under Tatar rule. A page-turning insight into the lives, homeland, tactics and thinking of a people who once threatened to conquer the world. All seen through the eyes of a Dominican priest and a Templar knight, sent as emissaries to negotiate an alliance.  Filled with fascinating information about these once-upon-a-time events which shaped civilizations and changed lives. Well worth the time.",4,"[-1.4873264973811915, -1.3354829916667008, -1.2984009183488943, -1.0315213436866362, -0.8987617355722941]",-0.8987617355722941
651,"It took a while to become immersed in the story and that is not the usual start to a Lincoln Child novel.  Some of the information was foreign to me, but I was soon able to follow the storyline.  Mr. Child has a way with character development and his characters are always interesting.  I'm looking forward to his next novel as well as future Preston and Child novels featuring Pendergast.",4,"[-2.0701893198280006, -0.9870110443733684, -1.16483975640748, -1.0296674793288152, -0.898763038129976]",-0.898763038129976
