,X_sentences,Y,Y_decision,Y_confidence
5740,Could not get into it. It's the writing-just not engaging.,0,"[4.285907409259054, 4.230151959770014, -0.2801130718332896, -1.0637788422427996, -3.019180260435067]",4.285907409259054
4525,"Its vague attempt at a plot is obviously only a way of getting around to a graphic sex scene. Add sloppiness in the writing, a lack of character development, and an overly quick resolution to what was supposedly a big problem.",1,"[1.536667846929871, 4.125778125643553, 0.05051137166467656, -1.0276723675143877, -3.6947789415317134]",4.125778125643553
9719,Had to return too difficult to put on,0,"[3.7649650101535617, 0.4968389704493561, -1.114407295091038, -1.0720832055517393, -1.7438158916336817]",3.7649650101535617
9929,"My new Neiko work light has some problems that I find hard to accept.  First the good stuff:  WOW, it is very bright; it also has an easy to grip handle with the hook on top is well placed. It features a slim design so it can fit in tight places. It lasts about four hours per charge and doesn't dim very much as the charge goes down.  Which leads me to the two things I dislike about it.  One, the unit I received for review flickers quite a lot, and it's VERY noticeable when working on objects near the light.  It tends to stop flickering near the end of the charge..  It's annoying, but it's possible I simply got a defective unit.  Second, there is no warning that I can detect when the charge gets low. The unit just turns off completely until you recharge it.  A pre-warning flashing red LED on the unit would be a big help to anticipate its impending shutoff. If it wasn't for these two things it would be a great product.",0,"[3.3212515743241964, 1.7386140905368603, -1.1729552631321587, -1.0332848145455737, -1.782611273254835]",3.3212515743241964
6501,Love my dragons! Love this series!,4,"[-5.713526602784618, -6.121089593849957, -3.9241450024196647, -1.0702052701928821, 3.1518977275877225]",3.1518977275877225
4424,"I thought the author told way to much detail to the point of boring, The story wasn't all that bad it was the way it was written.",1,"[1.6334430550158985, 3.135713330833594, -0.12099356614180379, -1.0155121912185554, -3.715154878288393]",3.135713330833594
8905,I could not put it down!!!!,0,"[3.0714798436540987, 0.8671448257352479, -2.410267724335476, -1.1600270590824642, 1.5003893139792999]",3.0714798436540987
9357,Did not catch my interest.  Tried first episode 3 times.,0,"[2.798692938490359, 1.81477197389688, -0.8763938641814266, -1.0437715537884427, -1.940287348085605]",2.798692938490359
3843,"Trivial book; plot is old + hackneyed. Characters are shallow and totally un-complex, more like fantasies of what it might be like, but lacking empathy or emotions that feel very plastic.",0,"[2.7530988598597927, 1.9263727994392377, -0.4008483829700651, -1.00797096723543, -2.5861876036889893]",2.7530988598597927
1468,"This series is outstanding and amazing!!  It grabs you up and does not let you go!  Re-reading this series, I always pick up things I missed the first time around!  This is one that is addictive!",4,"[-4.243773488812936, -4.371106529745905, -3.635027326719152, -1.06395045640787, 2.728584226342389]",2.728584226342389
6406,"Love it love it! So much angst and heart felt emotion, and deep raw emotion and just absolutely amazing! Charming, hilarious, love this family and series",4,"[-6.82706917697255, -5.742563108696249, -3.6128579943476824, -1.0263552148780009, 2.676536973145053]",2.676536973145053
8636,"The blurb made this sound interesting, but it didn't quite deliver all that it could.  The author shows promise but the actual plot wasn't developed enough. This book has a ton of sex scenes that are thinly linked by some plot threads. The vacillating POVs make it incredibly hard to follow. All the characters are fickle in their opinions and the book needs serious editing help.  If this author could find an editor to work with her work could be amazing.",1,"[0.9121382842856038, 2.6597419733140923, -0.9775152591159018, -1.017478650870926, -2.0644704016301523]",2.6597419733140923
9746,What a relief to find an odor eliminator that isn't scented.  This is great stuff.  Spray it on and you smell...nothing.  Nothing at all.  Love this.  I'm buying more.,0,"[2.6467383007558007, 2.5955057826763697, -1.7354372758225936, -1.0541052245473546, -1.1246223862915956]",2.6467383007558007
701,"The plot details of this book are completely implausible and unbelievable.  That doesn't even include verifiable facts that the author gets wrong, such as the 3/4 ton curb weight of a Suburban SUV (it's close to 3 tons).  This book is more like bad fantasy than fiction. This will illustrate how bad it is: It's Sunday, it's the only book I have and the library is close.  I've read about 295 of the 321 pages, and I couldn't bring myself to finish.  It's that bad.  I've never done that before.  As another reviewer wrote: ""I wish I could give it zero stars..""",1,"[0.7982560426861156, 2.6282391209111364, -0.6576574232868782, -1.0383131492786895, -1.9958470561889505]",2.6282391209111364
9506,"Great show, great cast! Absolutely Love it!",4,"[-7.6511041550052825, -6.337837910657402, -3.5871666666719966, -1.0411009315252997, 2.6243993607143317]",2.6243993607143317
2076,I love this books they are awesome.such a great family and all the men in this family are all gentlemen and God they know how to make a book sizzle,4,"[-4.944557295057072, -4.0165349612722805, -3.4305643694073007, -1.0621129936689688, 2.620180360939723]",2.620180360939723
5005,"This book was hung together on the sex scenes.  The story around the sex scenes really wasn't very engaging.  Even though it was only 99 cents, it was still disappointing, a bit boring.  Needed more character development and more characters.  This was basically just the H and h with a couple of others thrown in around the periphery.",1,"[0.05867640849642419, 2.5993191814306926, -0.5795865994837854, -1.0192879902239038, -2.520710097047072]",2.5993191814306926
8480,Love these books! Will keep reading them!!!,4,"[-5.80017170258797, -5.620542890851988, -3.4755529073253983, -1.0486647586439108, 2.5661170155682793]",2.5661170155682793
8087,"I thought the book was boring.  It was the same conversations over and over and over.  To be honest, I didn't even finish it.",1,"[1.9278687108851813, 2.5476864745473775, -0.17756117892503265, -1.0438288732336574, -3.1208488491337425]",2.5476864745473775
8044,"Unfortunately, this was a dnf for me. Not only did I find the characters unlikable, but the lack of editing was truly distracting.",1,"[2.063652745741929, 2.537006110223159, -0.7877134961002428, -1.057948820994249, -2.0734611598480006]",2.537006110223159
587,"I was expecting too much, perhaps.",1,"[0.7509160833143438, 2.523616504177594, 0.31101661689320514, -0.9910976597177374, -3.357200291013945]",2.523616504177594
6076,"Please see my review on Forging Zero.

I still am unable to 'draw' the life forms.  Yes, I can draw the slime mold, but the rest?  It still is cloudy.  And cloudy character visuals sometimes means a cloudy depiction of the 'world(s)' within the novel. Even the author suggests you go back and read Ch.'s 1 & 5 to understand what has happened.  That's unusual, don'tcha think?

I enjoyed the book, despite some of it's confusing plot twists.  And I'll more than likely buy the next volume.",1,"[2.1470749871216928, 2.522333474160156, -1.1262221197771916, -1.007141317254108, -2.2395912759368652]",2.522333474160156
5434,"This is as boring as the school administrations I've encountered throughout several districts.  They hire the same type of personalities - boring, flat, and dull.  I had to push myself to finish this book.  But it's still a good effort.",0,"[2.477630906697745, 1.650696519588371, -0.8190196253027471, -1.0549706110075778, -1.9984624180277824]",2.477630906697745
5078,Not all that impressed with this book. It was okay. The plot kinda boring. Too much telling.,1,"[1.3035910288947286, 2.460136778376197, -0.4646893706145254, -1.0487326634413237, -2.086499054579365]",2.460136778376197
5407,"I tried but I just couldn't get into or finish this.  It is soooo boring!  Dull.  Lifeless.  Pointless.
It starts out with a long introduction that I had to stop reading because it was telling the whole tale of the book.  What do we think when the character does this?  And what about when this person did this & what do we think the main character thought of that?  On & on.  I stopped reading after 2 pages & went ahead to chapter one because I didn't want the story ruined.  Little did I know that the story ruins itself.
I think I made it to chapter 5 with a sore neck because I kept dozing off due to the sheer lack of anything remotely interesting.  Dull.  Dull.  Dull.
I will not recommend this book to anyone & I'm sorry to have wasted the amount of time that I did trying to read it.",0,"[2.4353562239238213, 1.968681719506066, -1.195684282429711, -1.0308247525721803, -1.9505446878699813]",2.4353562239238213
4198,Amazing love these boys,4,"[-3.4816773922701243, -5.43916346150192, -3.1428887233438356, -1.0832063516309636, 2.431272663018568]",2.431272663018568
3800,"Wow, um, wow. That's about the most coherent thought I can manage on this book. It's totally illogical, overblown and unfocused. I mean, despite what the blurb suggests, it doesn't even have a main character. What do you do with a book that doesn't have a main character or couple? What do you do? (As an aside, that blurb is totally inaccurate anyway.) There's no plot. The characters do everything from pine for one another to assassinations to buy a horse that randomly gets bitten by a snake. There's insta-lust and a relationship that goes from 0 to 4,000 in about a page. There is endless agonizing over if the characters are a couple yet and if they're gay or not, all in artificial and exaggerated ways. There's pointless past trauma that is too much to be believed.

There is telling, telling, telling about how wonderful and significant and 'I'll be with you forever even though we've been a couple for 2 days' the characters feel, all adding up to basically nothing. Nothing that happens is believable. None of the emotions read as believable, not even the lust (though that's not really an emotion, I suppose). These men are supposed to be super elite soldiers and assassins, but they agonize over everything like teenager, and I don't just mean the emo stuff (though that's non-stop from page one) but if a teammate gets injured or is doing his part of a mission out of sight or killing. All the things a highly trained soldier would take in stride (and we're told they do) they are shown to whinge about. And the technical aspect of these soldiers? ""...are you sure this little black box will disrupt them?"" Seriously, that's how they talk about their tech!

Nope, this was a total strike for me; almost nothing to recommend it as far as I'm concerned.",1,"[1.0434180285124064, 2.4204852934688357, -0.6879225191804169, -0.9954712101544634, -2.0558823311917305]",2.4204852934688357
5086,Oh my goodness freaking HILARIOUS!!! You need to read this because well like I said it's HILARIOUS!!,4,"[-2.5442959937206497, -2.327817273610053, -3.091617656479099, -1.0886715206347695, 2.4081458966023384]",2.4081458966023384
6777,"Love this! So hard, real, deep emotional struggles each character must overcome.  Amazing writing, gripping details and words.  Love Reaper and Anna",4,"[-5.970768742577742, -4.738531920023489, -3.619369081755689, -1.0287741302503342, 2.3973139570341973]",2.3973139570341973
3593,The development lacked believability.  There was unrealized potential and an intentional cliffhanger for following tales.  Yours to read and judge.,1,"[0.2834013601245835, 2.3789029269399875, -0.10638526827580952, -1.0173681523793985, -3.355782410178713]",2.3789029269399875
2224,Will never pay money for her books.,0,"[2.36683001663853, 1.3852946791693026, -1.7901844233067958, -1.0463798700670564, -0.47071379927916945]",2.36683001663853
9588,"Can't complain, they do the job as intended.",0,"[2.351519330098774, 0.028094455496182835, -1.8328978706686103, -1.0792737882149102, -1.2386298941046976]",2.351519330098774
5194,"God, I love these books! Another great book by these two authors! This book has so many emotions in it and you feel them all, it really does take you a while to read it. You have to take each emotion and process them and even after you read the whole book, it is still haunting you to the point where you are thinking about what you just read. I loved it. I am so hoping and waiting for the next book!! Good job ladies!!",4,"[-4.355122103239567, -2.861217379046763, -3.1460356138342425, -1.080118078530027, 2.348658035044351]",2.348658035044351
150,Love me some James Rollins adventure! The are thrilling and engrossing to! Thanks for the rapid shipping to!,4,"[-5.797244716484002, -4.73339853933115, -3.372919679555033, -1.0364880301918287, 2.3251435458226375]",2.3251435458226375
4081,"Wow!! This book is OMG amazing. It was sexy,  hot,  and freaking awesome. I went  all the emotions. Loved it.  I want more",4,"[-5.38696612401276, -3.6165239869154306, -3.0168250939518018, -1.0785678855602392, 2.3065386999942348]",2.3065386999942348
3401,Great romance story!!  Loved reading this book!!! Can't wait to read the next book in this series!!! Really really loved reading this book!!,4,"[-6.996064795039884, -5.684808053165577, -3.43842395990023, -1.0359702432560867, 2.306242564308522]",2.306242564308522
5986,"I LOVED THIS BOOK!!!!  This book is an awesome read.  Great characters and the plot is amazing.  This book shows how no matter what happens LOVE can and will survive.  I found this book full of surprises and it shows just how far a person will go when it comes to making others happy.  A very touching and emotional read, you'll love it, too.  I highly recommend this book and hope you find it as enjoyable a read as I did.  I found this book well written by a very talented author.  Can't wait to read more!!  I was gifted this book for a honest review.  And I honestly LOVED IT!!!!!!!!!",4,"[-5.3129483850659, -4.1486377460173065, -3.269393575150769, -1.055303212223848, 2.302286890051956]",2.302286890051956
4851,Totally love this series of cozy mysteries!!,4,"[-5.816593744556862, -4.848562661885202, -3.393635085681309, -1.0473430713034027, 2.293044285575416]",2.293044285575416
4793,"...but how about getting someone to proofread? And how about learning that the phrase is, ""all of a sudden,"" not ""all the sudden.""",0,"[2.2891914134153755, 0.7601401515041175, -1.16894340730065, -1.0698615202283022, -1.1061691113463046]",2.2891914134153755
8666,"The book was good don't get me wrong, it's just something I wasn't into. To me it took forever to get to the end. Even though I read it in just a few hours. That is not what I mean, it felt like it crawled. Just not exciting enough for me.
Nothing wrong with the book or story, just my own personal view.",1,"[0.8512675911517393, 2.2888093126596205, -0.33055027589062846, -1.0387189754987358, -2.5510497031828496]",2.2888093126596205
9208,Didn't like it at all........managed to make it 30 minutes in and that was all I could take.,1,"[2.00108234787821, 2.2789596352060495, -1.476883560883175, -1.1139852867232114, -0.9826428999618984]",2.2789596352060495
435,This book was strange and not in a good way.  It was a book with no plot.  All the characters were crazy and kind of dumb.,1,"[1.8443166401479438, 2.25241257181148, 0.01043994489821154, -1.0244846406161727, -3.012755067008386]",2.25241257181148
