,X_sentences,Y,Y_decision,Y_confidence
3672,"ok, look I'm sorry but this story did absolutely nothing for me whatsoever .... the characters had no substance, some-one else called it 'lame' and I'd agree with that entirely",1,"[0.8265526177197908, 4.6813908474107, -1.3636114823110046, -1.1110005806849743, -3.2468831542545535]",4.6813908474107
894,Not a good book. Very boring. Implausible plot. Very disappointing compared to other books from this author. What happened?,1,"[0.00837134032220499, 4.340503101599852, -1.410870836803236, -1.1125648496447105, -3.223822071803269]",4.340503101599852
4271,I lost interest in it.,0,"[4.076219776835583, 3.5689124710156452, -1.6271375295033097, -1.0919509374922616, -2.8220244922258493]",4.076219776835583
5437,"There is nothing terrible about this book! So please don't get the wrong idea. This book just was not for me. I could not get into it no matter how hard I tried. I normally read between 100 - 150 pages a day (sometimes more) and it took me 4 days to get to page 25! I thought the book cover was real cute and the storyline sounded great. I just couldn't get a feel for the characters and it seemed a little scattered to me.

Just in the 50 pages I did read the one thing I did like was her strange addiction to Jelly Bellies and her talk about the different flavors. This was cute and fun.

  ""What's your favorite flavor?""
  Thinks he's connected with me does he? ""Tossup between coconut and margarita.""
  ""I like margarita, but you can keep the coconut - tastes like soap.""

  I know! right???? Thats exactly why I do not like coconut! It reminds me of suntan oil. While I like the smell of suntan oil, I do not want to eat it!

This book got great reviews from... well from everybody else! So I guess its just me!
So obviously don't listen to my review - go out and get your own copy!",1,"[0.06610028324461137, 3.6541621903524026, -2.2371408021562242, -1.1299895167177698, -1.4857502693409033]",3.6541621903524026
8166,"The story has potential, but is very choppy and skips over things all the time.  I kept having to re-read parts to see if I missed something.  The author needs a better editor to pick up on all the mistakes, typos and flow of the writing.",1,"[-2.027536131195326, 3.5238315334869608, -1.1139973385864799, -1.088878742311178, -3.2226431150835806]",3.5238315334869608
8979,Can not write a review because I did not finish the book. Could not get into either of the main characters. Believe it was because the book is only 164 pages and it was trying to cover too much.,1,"[1.9276745866497698, 3.4712589150512567, -2.092383469535902, -1.1594167670348474, -1.8006436781230741]",3.4712589150512567
5011,"This book was hung together on the sex scenes.  The story around the sex scenes really wasn't very engaging.  Even though it was only 99 cents, it was still disappointing, a bit boring.  Needed more character development and more characters.  This was basically just the H and h with a couple of others thrown in around the periphery.",1,"[-1.5786879584197162, 3.4261808297555945, -1.7371595833953157, -1.0866734080376956, -2.7293885406780563]",3.4261808297555945
2026,"Ok, I knew there would be sex, but this one had way too much sex and not enough story. I didn't feel connected to the characters. Just disappointed",1,"[-1.2634105738201722, 3.381647872606405, -1.5003769513540877, -1.1104055319922075, -2.4066089558183976]",3.381647872606405
8909,"I tried. I really tried. This book was a little rough for me. It wasn't really my type of book, but I stuck with it. Kept going. Then at 87 percent it just got so crazy, I gave up. I mean.... what?????",1,"[1.9898703507108118, 3.380419356700358, -2.309434195597518, -1.153547682169314, -1.1411884989190402]",3.380419356700358
9921,"My new Neiko work light has some problems that I find hard to accept.  First the good stuff:  WOW, it is very bright; it also has an easy to grip handle with the hook on top is well placed. It features a slim design so it can fit in tight places. It lasts about four hours per charge and doesn't dim very much as the charge goes down.  Which leads me to the two things I dislike about it.  One, the unit I received for review flickers quite a lot, and it's VERY noticeable when working on objects near the light.  It tends to stop flickering near the end of the charge..  It's annoying, but it's possible I simply got a defective unit.  Second, there is no warning that I can detect when the charge gets low. The unit just turns off completely until you recharge it.  A pre-warning flashing red LED on the unit would be a big help to anticipate its impending shutoff. If it wasn't for these two things it would be a great product.",0,"[3.3609737575798966, 1.914602414724444, -2.17180662627164, -1.0931700947820848, -2.144177523819687]",3.3609737575798966
8064,"Unfortunately, this was a dnf for me. Not only did I find the characters unlikable, but the lack of editing was truly distracting.",1,"[0.8480331034041577, 3.248282405033506, -1.85166894097991, -1.1156935276302267, -2.3292997668380666]",3.248282405033506
8014,"The story started out at a very slow pace. Much could have been done at that point to build up the tale.
It jumped too quickly into the travel scene.  More could have been done there to create further anticipation.
I felt the sexual situations were added to fill in content. Thy ruined it for some of us.
The story picks up more than half way through. Again, after the brief action, it lacks in content.
I feel this could be the foundation of a really good sci-fi with a little more effort.",1,"[-2.6951983269679785, 3.210880553302529, -1.2840324183965606, -1.078384182567505, -3.1434883307672976]",3.210880553302529
6911,This book is horrible. It is not developed. It needs editing. The story is weak and predictable. I hated this book.,1,"[-0.19741693544769756, 3.1918260893392327, -2.0349414947924234, -1.1192969264286188, -1.7668905840714701]",3.1918260893392327
8432,"This novel had a couple of disappointments in store for me. I know modern romance novels have explicit sex in them and expect that, but this was over the top. Pages and pages of explicit sex - I don't know how the main characters got to know each other again, because they were going at it like rabbits most pages after the first episode of connecting. I am not a prude and I do like to read sex scenes - who doesn't? - but when the plot appears to be there just to connect the sexual scenes, it gets boring pretty quickly.

The other disappointment was that there was no ending. I sat through pages and pages of erotica with minimal characterisation except for the main female character, and no real depth to the story - and then for it not to finish...well, I won't be reading another in this series as they are obviously not standalone novels.",1,"[-0.4266801932437696, 3.0229262991706345, -2.110692054770626, -1.1083616678316308, -2.2392598201883906]",3.0229262991706345
4895,"The story couldn't hold my interest. I wasn't happy with the story, so I quit a few chapters in.",1,"[-0.13952212238223716, 2.9981004137488148, -1.762606160718075, -1.094507016009256, -2.6799382725061625]",2.9981004137488148
2362,"Too long, too repetitive, too sappy, too drug-out, uninteresting detail. Did not enjoy. It was a fairly interesting story with unredeeming long, boring stretches between events advancing the story.",1,"[-1.3259965887643363, 2.971300376858346, -1.35955564842124, -1.0766539923341865, -3.5087401758745775]",2.971300376858346
9077,"I did manage to make it through the whole book, but simply because I was looking for anything different than hundreds of others like it to happen.

This is not a smooth read at all, the plot, and I use the term loosely, was like puzzle pieces scattered all over the place and no attempt was made to put them together.

It could have been OK had the author made any attempt to bring the characters to life.  They were all stilted, along with all the dialogue.  The sex scenes were so typical that were actually boring.

This is another good waiting room book; the kind of story you can read for a while, put it down for months, and pick up again without even caring where you were, you know from the beginning what is going to be the ending.  It's just a story to fill dead down time.",1,"[-1.3496203927293373, 2.9533881639196253, -1.8489518346596976, -1.1168376598074659, -2.2131812109576585]",2.9533881639196253
9143,The story was not to my liking.  I'm against sexual scenes but this was a little too much for me.  The storyline was lost within the store and story not well thought out.,1,"[-1.2555522491303885, 2.950024203025287, -1.5239902062255977, -1.0808818635202642, -2.962776106758753]",2.950024203025287
9213,I didn't care for it in fact I turned it off and watch another movie.,1,"[1.872099922199022, 2.8892696713325074, -1.8833355980300954, -1.1151133497244439, -2.1903475911792913]",2.8892696713325074
2326,Another Beautiful heartfelt read from this Author! This book was so touching! I absolutely loved the characters! Definitely don't pass this book up! It's a Wonderful read!,4,"[-7.7264093184988845, -4.044272240497662, -4.916129337001675, -1.172169346770424, 2.8792548092403867]",2.8792548092403867
4591,Did not finish the book didnot care for the people enough to keep reading the story.,1,"[-0.14792889687059319, 2.875310688573806, -1.7450003548558044, -1.1312197276395888, -2.2524757557444333]",2.875310688573806
1898,Just another book I could not get into for some reason,1,"[1.531328573422352, 2.871492886921775, -1.5240327706372492, -1.1445952852405739, -2.0171509159093994]",2.871492886921775
2535,"Passable reading. Nothing special. Weak plot line, too preposterous even for science fiction. Maybe should have been classified as young adult or teen, except for unnecessary sex scenes.",1,"[-1.0543705481849406, 2.827511232758577, -1.5739852351619759, -1.1027817212496585, -2.890486245505188]",2.827511232758577
3856,I really wanted to like this story but just couldn't. The writing was all over the place so much so that I was confused on what the writer was actually talking about half the time. The H acted so immature that it was hard to believe that she is a 26 year old mother running from an abusive ex she acted and spoke more like a 16 year old girl. Just wasn't believable and made it hard to connect to the story.,1,"[-1.0730737332935192, 2.826877426507573, -1.7788389818345158, -1.0778318774211386, -3.2263543962879035]",2.826877426507573
3089,John Rector's Already Gone was simply terrible. It actually started out well and looked like it was going to be an interesting storyline. But it just plummeted from there. The characters were not sympathetic in any way. The main character was just so hard headed and stupid I wanted to tear up the book! I found the first person writing style really annoying and just plain hated it. The writing style in general was uninteresing and I could care less about the characters and didn't care what happened to them. Frankly the whole storyline was pretty stupid and the ending was just plain unbelievable.,1,"[-0.8842215078628011, 2.8114378668797837, -1.9047347695951748, -1.1044770667111126, -2.242429030163057]",2.8114378668797837
7346,"I don't understand the 4 and 5 star reviews for this book. It was truly awful. The dialogue was stilted and did not flow. The formatting of the book did not allow you to understand who was speaking. The plot has been done a million other times by better authors. But by far the worst thing about this book was that at no time did I give a s*** about any of the characters. There was zero chemistry. The heroine was an idiot. There were too many distractions with the details of secondary characters, that I had to remind myself of who the main people were. I suffered through both book 1 and 2. I would not suggest this book to anyone.",1,"[-1.6057915508503873, 2.809810449492514, -2.120532391678196, -1.1085520225977483, -1.912500166153078]",2.809810449492514
