,X_sentences,Y,Y_decision,Y_confidence
1544,and the press has never lied or misled people about Donald Trump???? ha!,0,-0.2573326536866998,0.2573326536866998
406,"If you're referring to Muslims, the overwhelming majority are peace-loving.  The percentage who are ISIS is microscopic.",0,-0.25685637088074964,0.25685637088074964
4122,"Different sickness, I would guess, but quite severe in any case. I am generally on the side of not diagnosing someone at a distance, and public figures, particularly, are a bit more difficult obviously. No one has enough information at a distance.

First, off, the term ""neurosis"" isn't in much use these days, but fits more the diagnoses of personality disorders. The markers for psychosis are hallucinations and delusions, often, as you said. It does seem, from reports, that Trump is not a drinker, as you mentioned, which can lead to hallucinations and such. Substance abuse, use, or not, is not known, and there are times, such as the first debate, when there was reason to wonder if he was using one or more substances. We don't know that. No hallucinations that we know of, and the delusions, lies, whatever seem more connected to him seeming to have a narcissistic personality disorder. Just an FYI, most therapists would prefer to work with/refer to an m.d. for  medications for (cont.)",0,-0.25660147345491624,0.25660147345491624
3822,"rangerMC really does believe the drivel in americanthinker. i know he loves this entry in the same post because of the quote he posted. 'You see this in the campus rape hysteria, just recapped by John Hawkins. When a man is falsely accused of rape it often seems to issue from the need of the woman in question to avoid admitting that she made a mistake.' this site is full of white, evangelical christian male crap. the logo shows uncle sam taking a dump in a tree stump. great stuff ranger.",0,-0.2560001712852542,0.2560001712852542
169,No she doesn't!  She rents them out as child sex slaves from the basement of pizza restaurants.  Don't you follow Facebook?,1,-0.2553071890181542,0.2553071890181542
122,Liberals.  They had a dog first.  Then children.,0,-0.25379967293243944,0.25379967293243944
4149,"I have invented a new name and meme for trump.

Get ready for it.  Here it comes.

trump is:

~~~~ #SNIFFLESMCCHEETOH ~~~~
~
~
~
~
Use it.  Spread it around. Share it.",0,-0.2534661600651673,0.2534661600651673
132,"Just because I wipe dog shit off my shoe, doesn't mean I care about the dog shit. I care about getting rid of the stink.",1,0.25337113526203003,0.25337113526203003
627,Shoulda pulled out..,0,-0.2529692032890487,0.2529692032890487
3102,"I do find it instructive that although there are, depending on the source, three to ten times the number of hate crimes against Jews in Canada than against Muslims in the last five years there has never been a motion put to the House of Commons to address it. Interesting.",0,-0.2529136444335016,0.2529136444335016
3836,"Thank You for the official Vatican Catechism lesson. Rules designed by the same Vaticrats who thought it appropriate to improve on the words Our Lord at the last Supper because they considered the term Chalice far superior to the simple word CUP our Lord obviously preferred and, from their Ivory Tower deemed it appropriate to modify the words chosen by the Son of God on the eve of his sacrificial death. The same people whose colleagues stonewalled efforts to afford greater protection to the little children of the Laity. I also believe that the Holy Spirit responds and provides insight to all who petition Him; and does not limit his responses to clerics adorned in bright cardinal cassocks. The intentional perverted acts of  a Priest attracted to his so-called vocation by ready access to child-victims in an accomplice- hierarchy are criminal and should be prosecuted rather than hidden and allowed to persist despite your sanctimonious hair-splitting perspective.",0,-0.25259055290334476,0.25259055290334476
3540,SA is a propaganda machine...,0,-0.25246134248829466,0.25246134248829466
5,Anchorage trash. On the move again. And  again....and again.....,1,-0.25197076838343735,0.25197076838343735
1580,"Even so these people will find another vehicle to drive.  Seen it many times.  They have no regard for the law, or anyone.  10, years in prison(if convicted) will keep him off the road.",0,-0.2513240246912636,0.2513240246912636
4345,Indians?  Rings a bell. They have that racist logo and haven't won a World Series since WWII?,0,-0.2509085286507471,0.2509085286507471
4303,"What you mean absolutely nothing.  He killed himself, I am sure if he were taken alive the death penalty would be called for by the President.  
As for being radicalized in the US , heck that geographical , means nothing because its a modern world with the internet.   Head of video conferencing?  Who needs to go  Japan when you can teleconference.   This WHILE IN THE US.  means absolutely nothing, its filler words at end of day the dirt   became a fundamental islamisst of the political kinds.",0,0.2504881009123019,0.2504881009123019
2410,The part of our slave history that no one likes to talk about is the Black Canadian slaves that ran away to freedom in northern US states.,0,0.2499067459444273,0.2499067459444273
658,A little more than a year into the job and he finally figured this out.  I can hardly wait for his next intellectual nugget.,0,0.24988146265389943,0.24988146265389943
3181,"Don't we all wonder that, Jeff.",0,-0.24963144828585193,0.24963144828585193
4131,"This government rejected 126 millions funding request for our very own Canadian autistic children, but spending more than 30 millions up till now to pay for admitted terrorists and their lawyers. This is wrong and not Canadian.",0,-0.2486370770277193,0.2486370770277193
837,"This is SUCH a red herring,as with nearly all the anti marijuana diatribes. Smoking anything in a public space is obviously prohibited.

There are  50 good reasons for a complete overhaul of our archaic and destructive drug laws and only one reason to keep them - they keep the uninformed and fundamentalists (probably redundant to say this) happy.",0,-0.24840814401147493,0.24840814401147493
277,"know something lefty... refugees have no right what so ever to come here.
Go back to the basement little one.",0,-0.24816504734956712,0.24816504734956712
2674,"She needs to be fired, PERIOD!",0,-0.24779911033366608,0.24779911033366608
2028,"Do you really think I am happy about the church cheating me and other victims.? I got a lousy 2 grand before attorney fees.

And they dragged me through five years of hell.  Hell yes I am livid about this and will never stop fighting until we all are treated justly.   

Your treating victims like me and others like trash because we do not believe your conspiracy theory about Tom Doyle is only alienating you. It makes more sense to fight the church not each other.",0,-0.24760958783622855,0.24760958783622855
1125,How come all of the kneelers in the picture are Black? Disrespecting the flag and the national anthem accomplishes nothing. NFL severely underestimated the patriotic backlash and are paying the price. OUCH.,0,-0.24688211623953293,0.24688211623953293
1710,Face palm.  I live near there and it is exactly the opposite.  Lilly white. I often go to the Home Depot right next door.  You are obviously white and want to ignore that the poor people were targeted for being Hispanic.  Your bona fides for claiming otherwise?  Show the evidence.,1,-0.24617870436711375,0.24617870436711375
909,"Trying to get technical again Jerry in trying to show that you are somehow smarter than all of us here.  No, money is money whether you call it a payout or ransom.",0,0.24597607699034763,0.24597607699034763
3750,You really think two men strung out on meth could of even came close to planning an attack like this shows you have no clue.,0,0.24590496702918774,0.24590496702918774
189,"""He seemed far more interested in female company than the truth.""

And there you have it. This whole thing is a cock-a-hoop about an incompetent misguided kid. That this loser-writer cashed in is, well, the way things work sometimes. That any young people would be influenced by his nonsense is criminal on his part. Back in the day, he would be just another found body, pretty much what still happens everywhere else except Alaska. Tragedy? Yes, but an extremely small one and far from inspiring other than the stupidity of it.",1,0.24431405202676437,0.24431405202676437
551,"NAFTA is one of Trump's biggest worries at this point, because it involves Mexicans - a people he despises. It's a big part of the ""cesspool"" of his own creation. He has promised his voters that he is going to hammer the southern neighbor - and I am certain that he will.",0,-0.24395415781329177,0.24395415781329177
1530,"It's astounding how much blind racism there is in these comments. ""Why can only black people say the ""N"" word?"" Really? You don't know why? ""How is racism not over if (a few black people) are successful?"" Really? You somehow think that means every bit of endemic, systemic racism has been dismantled? ""War on whites""? You are joking, right? The only war on whites is being waged by the ultra-rich who have created a system where 85% of income growth has gone to them, not their employees, and that's a war on everybody. I understand that a lot of people don't want ""others"" to have what they have always had and enjoyed without even thinking about why or how. Someone recently said, ""When you are accustomed to privilege, equality feels like oppression.""",0,0.24386385004168698,0.24386385004168698
203,"LOL suck it up, Chinese rule Hongkong.",0,-0.24092202217478897,0.24092202217478897
152,No sympathy for either one of these less than honorable misfits. My empathy lies with Mrs. Murphy . She deserves every dime she can get from  Tim the weasel,1,0.24092172185830396,0.24092172185830396
754,"Your last line in the article should be yours and every other left wing writer in this country's mantra....""use your noggin"".  While Ezra Levant may go on tirades about issues, in particular about Islam Extremists and Muslims in general, I for one am glad that we have someone out there that is at least bringing some of these issues out in the open.  If you haven't already read the book MUSLIM MAFIA, by P. David Gaubatz and Paul Sperry, I suggest you do.  Once you do, you will realize what type of conspiracy is coming to (and already is) the West.  It's interesting the Libel Case of Levant all started by a News Release by C.A.I.R. that got these young students riled up about an article in a Canadian magazine.  Isn't it strange that a U.S. Extremist organization such as C.A.I.R. started the ball rolling.  Hey, maybe Levant is a big mouth, but unless people speak out most of the sheep in Canada will continue to be herded.  My two cents worth!",0,-0.24059775683694662,0.24059775683694662
2369,Global warming! Bwahahahaha!,0,-0.2403858827165002,0.2403858827165002
1153,"“...There is no way this poltroon can undo the harm done to the flag in the course of the long American history...”

I didn’t know that you are ashamed of America.  It explains a whole lot about your negative anti-American posts. We’re you educated in Cuba?",0,-0.24038508136387904,0.24038508136387904
3702,"It's not a Muslim ban, it's a ban against countries known to support/protect/harbor terrorists and non-Muslim countries are in that list like North Korea and soon The Banana Republic of Hawaii will be added to it despite being an actual US state! LOL",1,-0.2401358700686098,0.2401358700686098
3761,"Yeah, you're right, these Bozos are spending our money; NOT funny!",0,0.23993683307511526,0.23993683307511526
3453,"So the fact that he's an  ""old"" man especially bothers you? But if he thought he was a woman you'd probably be okay with that, right? Or if he was a young man it wouldn't be so icky, right? Why are the elderly still fair game for discrimination and bigotry?",0,0.2390580762515926,0.2390580762515926
2928,"Give me a break. A wealthy, privileged white woman who writes an opinion column for a national newspaper is complaining about her lot in life? And the ""treatment"" of another wealthy privileged white woman? Oh I'm sorry, is Warren still claiming to be a Native American?

Clearly the Renzetti's of the world still have no idea why Trump won, why there was a Brexit, and why Le Pen is winning in France.",0,-0.23889639610390123,0.23889639610390123
4500,"The fake PEC bunch arrogantly announced that they would proceed with the disciplinary process against Makhosi Khoza, again failing to realise that the court judgement means that all decisions they have taken could become automatically illegal if the judgement is upheld on appeal.",0,-0.23887461872571736,0.23887461872571736
3984,"""Just as pet owners will take their animals to veterinarians to put them to sleep, humans, he said, deserve the same option — with the important difference that it is the dying individual who will make the ultimate decision.""

Yes, the most important difference is that the dying individual makes the decision.  However, between 30,000 and 60,000 animals get ""euthanized""/killed at the Hawaiian Inhumane Society each year.  So, if anyone wants to pay the Inhumane Society to jump into the gas chamber with the rest of the animals the contract killers would have a welcome new source of revenue to add to their new death camp in Kapolei.  They think Heaven is just great and their job is to send as many souls there as they can - for a fee of course.  So I wouldn't be surprised to see someone like a former Inhumane Society press flak show up at hearings to support the measure.",0,0.23882177782318337,0.23882177782318337
1790,What do republicans want to do to women who have abortions?,0,-0.23874440811301345,0.23874440811301345
455,"Oh, yes, certainly numbskulls.  Look at any city street or sidewalk, county roadside, any park anywhere, and see wrappers and drink containers casually tossed aside, too terribly heavy to carry away.  The banks of any body of water hold countless empty bait containers and fishing gear packages.  Miles of nearly invisible fishing line snake through the grass, ready to tangle unsuspecting wildlife, pets or people.  Some lengths still have hooks attached for even more fun.  Where did it come, this utter contempt for trash responsibility?  People finish a sandwich or candy bar, drop the wrapper and walk away.  The attitude is: why should I clutter up my important vehicle (or pockets) with trash?  The really scary part is, too many are so used to seeing trash everywhere that they consider it normal, and as long as 'everyone does it' it must be okay, right?",0,0.2385487307031653,0.2385487307031653
2267,"What's with women and blood that he always quotes?  Republican Anna Navarro says it best, he is a 70 year old man-baby.  The republicans have many capable and  descent leaders.  They need to stand up to this bully, who makes our country look like a horses's behind.",0,0.23684468201708064,0.23684468201708064
1663,Hello Sir....is that an hand gun or a ham sandwich in your carry on.  We cant tell the difference with these x ray machines....#WasteofTime,0,-0.2367758075250581,0.2367758075250581
523,"Looks like it's time for republicans to beat a live horse such as Bhengazi...uh, maybe Whitewater...Vince Foster?",0,-0.23647833026333598,0.23647833026333598
2114,"Which how they're destroying our country, and fine with tax reform that will hurt us all. SAD!",0,-0.23428981690273476,0.23428981690273476
4378,"Speaking of ""arrogance and snobbery,"" so-called ""Faithful Catholic.""  It seems you suffer from a seething jealousy born from a sense of entitlement.  And FYI - the GOP was known for years - and is presently again earning the reputation - for being the rich, elite and arrogant part of the population, and not just that top 2 percent.  What it all goes to show us, with your post being just one glaring example, that the sin of demeaning others knows no ideological or economic boundaries, even in the face of what Jesus taught us - so very clear in the gospels.  Your conclusions are simply the outcomes of your faulty thinking, and are of no use.",0,0.23421556878786864,0.23421556878786864
