,X_sentences,Y,Y_decision,Y_confidence
834,Were there any recordings ? Audio? Video?,0,-4.6878004971690705,4.6878004971690705
3492,"sounds like an amazing event... so sorry I was not there. The way he carried the evening with song was not how I envisioned Garrison Keillor.

A man like this brings hope... I have to believe a cultural redemption of some kind is possible in our country. We need to begin working together again from the grassroots levels on up to the highest levels of our land. Community and responsibility begin right here at home.",0,-4.271839091957891,4.271839091957891
3151,"Over the years, in many arenas, those that have stringent views of ""how things should work"", have seemed to increase efforts to alienate those perceived to threaten those tried and true views that they hold dear, using all forms of names to pigeonhole those dissenters in the very areas they are trying to alert us to look at.  Those who are defenders of the ""least in our midst"", try to point out positive results of their experience with those groups.  It seems to me that the American Catholic hierarchy, should clarify in greater depth for all American Catholics, what Jesus may have meant by Mercy...for it is highly evident from the rising derisions among the laity, the clergy, and the educational institutions that the individual understandings of it are wide right to wide left.  Or, is it possible, that God meant it that way, to allow for individual preference and individual interpretation...to promote growth among people in understanding His way of Being?",0,-4.223352365170174,4.223352365170174
2073,Thank you for all you've accomplished and the lives you have positively impacted.  May you have continued successes.  It was truly a pleasure working with you throughout the years.  Darryl,0,-4.184645352344707,4.184645352344707
4101,"1.  Not everything that God has said or says to us was spoken by the few hundred words that have been captured in the Gospels.    Some people seem ever desirous to shrink God's word (and will).

2. God's will is expressed also in the events that He allows in our life, the sequence of events and people that surround us.  God wills most people to be share in His creative power, by having and being in families. Fecundity is His will for most.

3. God speaks also to us through reason. It's reasonable to conclude that we are limited human beings, that we don't have infinite anything.  We are finite.    We can't love everyone with the same availability and sensitivity.  We have limited time, energy, attention span. 

4. So reason tells us that the people God wants most of us to love the most, are those that he places closet to us.  He does ask a few people to do missionary work, but most of us are to love very ordinarily, and yet still heroically, right where we are, loving those near us.",0,-4.11646529992483,4.11646529992483
2427,"I will grant you this: we tend to make the facile assumption that the flight of the Nones is grounded in reflection, instead of selfishness. I don't think we have enough evidence to support that assumption. My experience with my children's generation is that they've left religion behind because it can't compete with the enticements of contemporary life. If they were motivated by a search for justice, they would head for other churches, not opt out entirely.",0,-4.056368545678545,4.056368545678545
4445,"Who are the ""emotionalists""?  I'm getting tired of a certain faction of Catholicism insinuating that emotion is for weaker, lesser friends - or that emotional people lack logic. Tears come easy to some people. Besides, the Bible clearly says ""there is a time to weep.""  Sometimes we just have to weep together. No analyzing, no platitudes, no back-door opportunities for proselytizing. Just weeping. As a mother who has lost a child, I think Pope Francis' advice is very wise.",0,-4.050685255376121,4.050685255376121
3913,"I want to emphasize that I completely understand that we come from different points of views, perspectives and needs (income vs. growth of income) and varying experiences. Some with few years left to live may concentrate on income today while others may be looking to compound their numbers for the next three or four decades.
Example, I own one REIT (Chartwell for personal reasons) as I find most RE investments tend to increase payouts by ~ 3% per year. That tends to be in line with long term RE price increases (but certainly not lately.) 
Some prefer the highest dividend increasers and of course they tend to do well, assuming they continue to grow their dividends at a high rate. 
I look at:
*safety of the dividend
*dividend yield
*likely dividend growth

Safety comes first. Then either current yield or div. growth come next. Whichever you need.

I sort companies this way for returns...2 companies
#1 div 6% + div growth rate 3%

#2  div 4% + div growth rate 8%

#1 = 9%

#2 = 12%",0,-3.969340886629956,3.969340886629956
3751,"""Mother Church earnestly desires that all the faithful should be led to that fully conscious, and active participation in liturgical celebrations which is demanded by the very nature of the liturgy. ""

""In the restoration and promotion of the sacred liturgy, this full and active participation by all the people is the aim to be considered before all else; for it is the primary and indispensable source from which the faithful are to derive the true Christian spirit; and therefore pastors of souls must zealously strive to achieve it, by means of the necessary instruction, in all their pastoral work.""
-SACROSANCTUM CONCILIUM

So it would seem that participation is of some importance. Otherwise, I can get the all grace from standing on the line, or kneeling at the rail, for communion, but without reminders of what God intends for me to do with it, once I walk away it's as good as forgotten.",0,-3.9521674571881924,3.9521674571881924
3421,"1. What a disturbing distortion of the meaning of ""subsidiarity"".
2. I invite readers of this comment to note how carefully it is phrased: ""The Church DISCUSSES what's called 'the order of charity'.""  The Church ""discusses"" many things. That does not make them doctrine.",0,-3.9162187970532445,3.9162187970532445
