,X_sentences,Y,Y_decision,Y_confidence
1464,I have had the privilege of working with John as a fellow Fire Commissioner for the past twelve years. John brought dedication and “on the job knowledge”to the fire district. He put our community first and held our fire fighters in the highest regard. I learned a lot from “the old man” and wish him well in his retirement. We can hang out together now that we don’t have to worry about the open public meeting rules!,0,-4.710033280449032,4.710033280449032
614,"[part two]
Will the proposed prayer reduce the percentage of each Mass when the people practice patience instead of participation?  Will it in any way build up the sense of community?  Does it help people make decisions in their buying, working, voting?  

We are  much more in need of eliminating the interruptions to the basics of the Mass: Well prepared proclamations of the Word.  Discussions of the applications of Scripture to daily life instead of to theological concepts.  Mutual support for carrying out Christianity instead of Western culture.  Then is the fellowship with a clear, uninterrupted line of take, thank, share among the community without a lot of theological commentary or historic insertions.  

Most of the Roman Rite consists of clericalist accretions upon the basic structure of an effective community experience.  The suggestions in this article are just to move the deck chairs on the Titanic instead of steering a better course.",0,-4.548549436902145,4.548549436902145
3382,"What I found out when I started to attend a protestant bible study in college was that I knew a lot more of the ""integrative message"" of Scripture than most of my bible memorizing protestant friends.

I may not have been able to impress myself or others with verse/verbatim.

But I was less prone to confusion when one protestant friend tried to one up another protestant friend with a proof text.

Instead I fell back on my faith and on my constant exposure to Scripture through the Holy Mass, and was able to offer a more integrative scriptural answer to one of the points of the Bible study, even though I couldn't quote chapter/verse.

Instead I would say, as an example...""doesn't it also say somewhere in the NT that we should love God with all our heart, soul, mind, and strength""?

It was only later on that I took up regular personal Scripture reading, and that too has been a huge help.  5 minutes a day.    

5 minutes a day, one can go through slowly the whole of the NT each year.",0,-4.541970407905575,4.541970407905575
487,"It's not helped by popular TV shows, either.
A NEJM study found that rates of recovery via CPR in cases of cardiac arrest were much higher in TV medical soapies than in real life. See:
http://www.nejm.org/doi/full/10.1056/NEJM199606133342406#t=article

Leads to unreal expectations of survival after a cardiac event.",0,-4.396088871454855,4.396088871454855
2472,"Reactance theory:  a motivational reaction to offers, persons, rules, or regulations that threaten or eliminate specific behavioral freedoms. Reactance occurs when a person feels that someone or something is taking away his or her choices or limiting the range of alternatives. 

Reactances can occur when someone is heavily pressured to accept a certain view or attitude. Reactance can cause the person to adopt or strengthen a view or attitude that is contrary to what was intended, and also increases resistance to persuasion.

https://en.wikipedia.org/wiki/Reactance_(psychology)",0,-4.383416784534486,4.383416784534486
2291,"I have been so honored and humbled by the encouragement from Alaskans to re-enter public office. I have a passion for public service, so I had a difficult time reaching this decision, but I have decided not to run for this office. It is simply not the right time for me or for my family.  Jacob just started high school in Anchorage this fall and I know the days of him still being interested in talking with his parents are ones I should cherish and don't want to miss. When it comes to running for office down the road, we will see what the future brings. Both Alaska and our country have incredible opportunities ahead, but it is up to each and every one of us to help move our state and country forward. I truly believe that it is not about the title you hold or the power you have, but what you choose to do each and every day that will make a real difference for our neighbors and our communities.  I will continue to work for positive change every day whether I am in office or not.",0,-4.356607465174901,4.356607465174901
2624,"Bill, the most readable Bible I've ever read is Eugene Peterson's ""The Message.""  Fortunately, there is a ""Catholic"" version that makes no concessions except to add books specific to the Catholic canon. Peterson is a jewel in the crown of the US Presbyterian Church.

Kongratz on ""nescient"" - had never seen nor heard the word!  Given the context, it was a very appropriate choice.

The Jesus Seminar's ""The Five Gospels"" is a great discussion starter in group environments because it color-codes the authenticity of Jesus's sayings.  The coding is GUARANTEED to cause controversy!

I don't know how you manage three scripture sessions in a week.  I need some time with my mates in the pool hall!",0,-4.307597996048907,4.307597996048907
1410,"i would check the lakes, the coffee girl showed up dumped in the matsu lake by kepler bradly a few years ago after lots of searching.",0,-4.289464040987407,4.289464040987407
1333,Is the Dispatch about to fold ?  Do they have access to their printing press's ?  They keep running full page ad's asking how to cut 10 parts of the paper. Did they wait too long ?  Will the Dispatch be around in one month ?,0,-4.278344104082564,4.278344104082564
887,Try nordic skiing! I do a lot of skiing with my Fairbanks family and friends.,0,-4.236395146664156,4.236395146664156
908,"The reason why Eucharist Prayers in the Catholic, Orthdox, and non-Chalcedonian communions are not designed for congregational participation is that theologically the congregations are not the priest-celebrants.

The entire notion of ""draw(ing) people in"" is contained in the prayers, readings, and responses prior to the Eucharist Prayer and the prayers of thanksgiving afterwords.",0,-4.2238956180331675,4.2238956180331675
2282,"Ongoing in Creation's dynamic is holistic Godlikeness:
The Father/Son/Holy Spirit Agency of Symbiotic Eucharist - the Trimorphic Resonance of Faith/Hope/Love - is the Self-Reflective Agency of Eucharistic Symbiosis vitalizing evolution in Nature's Mothering. To neglect understanding the Mothering of Nature is to fail understanding the Divine Feminine, the authenticating Agency of Life.",0,-4.161637673830569,4.161637673830569
934,Hi Eric :),0,-4.123928587627489,4.123928587627489
885,"I was responding to your question ""who claims that Jesus desired to be godlike?"" I thought you misunderstood me to be making that claim.

""In the form of God"" may refer to the imago dei. Or, it may not. My point is simply that the Philippian hymn has been variously interpreted. As one of the very earliest formulations of Christian thought, it's tantalizing to people interested in the origins of Christianity (among others, needless to say).

My last paragraph referred to your comment:

<<Downplaying His divinity and only focusing on his humanness in the Gospels is a tactic to diminish what He said and did as written in the Gospels so that people can have an excuse not to follow the Gospels as written and handed down for millennia.>>",0,-4.114452994924873,4.114452994924873
2130,"I figured there was a reason like that - either that is was state or privately run. Probably the same for 7-falls, I suppose?",0,-4.108011339059551,4.108011339059551
4132,"""So it appears God is blessing what you do not believe is right.""

William, what I believe to be wrong is when people change the truth, not only as recorded in the Bible, but the Truth which is in Christ, in the Spirit. If you continue to deny the doctrine within the Bible and yet claim you are led by the Spirit, should people just accept what you say as the truth? 

I am not against you as one who is Spirit filled and doing the will of God; but your opposition to Scripture is not God inspired. At times we may think we understand all things, but there is no denying that the ""old man"" continues to get in the way of God's will for us. 

Do you believe people with the indwelling Spirit of God never stray or find themselves ""out of season"" throughout their entire life?",0,-4.031762960677003,4.031762960677003
1564,"Except empirical data and observations must eventually be made sense of within an overarching theory, or they risk becoming, in Rutherford's dismissive and prejudicial phrase, ""stamp collecting"".

As for testing, that can be hard to do in astrophysics, based largely on passive observation and theory.",0,-4.025826883145696,4.025826883145696
2995,"I concur with the house-cleaning, etc. I probably think that these questions are more important than most of my friends do. 
If you're interested in fairly in-depth bible scholarship and don't want to have to commit the time to reading, I recommend ""The Bible Geek"" podcast by Robert M. Price. It's free, it's fair and quite interesting, despite my unimpressive familiarity with scriptures.",0,-4.009334954332225,4.009334954332225
124,"Trump is definitely a worthless stain on America.
He's definitely a sick, fascist, white supremacist traitor.",1,3.983274395292784,3.983274395292784
3224,We used to pray at baseball games but it was perhaps 50+ years ago when I was a kid.  There is still prayer at some sporting events that are with Christian schools and local events in Bible belt places.,0,-3.9627564957672483,3.9627564957672483
1099,"You're welcome. Maydays are indeed a detriment to native alaskan tree survival, similarly to how me accidentally inhaling a gnat during a bike ride on chester creek trail is a detriment to my survival. Speaking of chester creek trail, how many mature maydays per alaskan trees do you think there are there? 1 in 300? That's in the heart of anchorage with half century or more to compete for dominance. SoulD be plenty of time for an invasive species to take over right? Just look at the pythons in Florida. Maydays simply can't grow tall enough to compete with alaskan trees. It's like trying to pit male and female olympic sprinters against each other. The females are great, but they don't stand a chance because males are naturally stronger and faster. Starting to understand yet? I can break it down further if you need.",0,-3.9570492488429023,3.9570492488429023
1694,"If DPS is like the schools we attended, there are never huge individual balances to be paid. Say you have $2.40 left in your account and lunch is $4.50. They would serve lunch, notify that the account was overdrawn by $2.10, and the free alternate lunch would be offered after that. No matter how many alternate lunches were served, the account would not be charged further.

So we're not talking about any lunch account owing a negative $50. I suspect that there are a few thousand accounts sitting with less than $5 owing. I suspect historically most of those balances disappear when parents are reminded to replenish the account when school starts. I'd want to know how this $13K compares to previous years and what happened when school started in the fall.  $13K past due for a system with 92,000 kids and as a portion of what must be the cafeteria budget is probably not newsworthy.

The more I think about it, the more I think it possible the community and the kindly donors are being played.",0,-3.938361139308147,3.938361139308147
744,"You did claim that it is downtown. It is not. 19th and Downing is not in downtown. The CBD along with lower downtown *is* Denver's downtown. This is not in dispute. ""Adjacency"" means next to, not ""part of.""",0,-3.9348007266683656,3.9348007266683656
4458,Nice! Interesting to see the changes. Thanks.,0,-3.896277875242018,3.896277875242018
1310,Am I correct in observing that if one parent decides to stay home permanently with their children there are still no tax breaks afforded to them?,0,-3.891025931982398,3.891025931982398
868,Were there any recordings ? Audio? Video?,0,-3.832057564631034,3.832057564631034
1076,"Excellent article. My wife and I lived in Washington, DC before moving to Eugene. We watched many rent-controlled buildings become unsalvageable due to disrepair and deferred maintenance. Many were well-constructed historic buildings. The amount of value destroyed was difficult to watch, and the cost of the new construction that followed far outweighed the cost of the foregone maintenance. In the process, building communities were uprooted by inevitable gentrification in the city center. Hardly anyone's interests were aligned with the so-called rent control ""solution.""",0,-3.819016662695371,3.819016662695371
3391,"Perhaps you read about ""separation courts"" in a secondary or tertiary source, and have some impression or other at odds with their purpose and function.

Google ""Marriage, the Chancery Court, and the Catholic Church - Via Sapientiae"" and you'll find an entire text on the role of canon lawyers in the process at the time.

Canons 1692 through 1696 in the Code of Canon Law describe the procedures for separation of spouses. They are still current law, although in the USA they have become dead letters due to the sheer number of separations among Catholics.

The purpose of these procedures, which when they were rare were handled by ""Separation Courts"" to assist the bishop in assessing the situation and to work, if possible, toward marital reconciliation - "" Before he accepts the case, and whenever there appears to be hope of success, the judge is to use pastoral means to induce the parties to be reconciled and to resume their conjugal life.""

Your assessment of them is fictional.",0,-3.794165881335718,3.794165881335718
3296,"There was a time when members of Christian congregations didn't need be reminded that their faith wasn't something to put on and take off at the church door. I grew up in an ethnic parish where the life of the church and the life of the community were so intertwined as to sometimes be indistinguishable from one another. To suggest that we needed to look after our neighbors and those in need would have been as obvious as pointing out that water is wet.

Today, things are a little more challenging. We compartmentalize our lives and even our faith. Thanks, Bill, for a good reminder that when we're sent forth from the church into the world, it isn't just so we can feel warm and cozy until next time. We are to be Christ in the world.",0,-3.768954391403199,3.768954391403199
1898,The Eucharist Prayer is not a communal prayer. It is a prayer by the priest on our behalf to the Father.,0,-3.7660286892529737,3.7660286892529737
254,"This man is such a piece of garbage.


Can you IMAGINE the right wing poutrage if the first black president had done even half of what this clown does?",1,3.755914366356448,3.755914366356448
2294,"In my parish, I was taught in RCIA and a 50th anniversary V2 session that the Church is the People of God. It is a very ecumenical term. It was a very important ""change"" made by V2. Baptism from other denominations were now recognized. The Spirit of V2 was one of more tolerance and acceptance of differences with non-Catholics. 
Tri, you seem to love the documents you quote but not the Spirit that leads us to reconciliation with our bothers and sisters in Christ. Love and understanding will bring us together not uniformity in doctrine. Jesus did not teach doctrine. He taught love, compassion, forgiveness,...",0,-3.745703050458606,3.745703050458606
1876,"If things go as some predict they will, adaptation - including 'less', and much older techniques and lifestyles- will be the winning order of the day. There is ample evidence that humans have survived through adaptation previously. I seriously doubt that a ""First World"" standard of living can be maintained through substitutive technologies. Substantially reduced transportation, medicine, housing, and food opportunities will be....must be, the order of the day. And yes, much higher levels of pollution will have to be tolerated when renewable organics are used for fuel. Humans as a species - not necessarily as individuals- are much more flexible than our modern technologies are.",0,-3.7437215741351215,3.7437215741351215
2186,"""The city’s parks staff has remained flat at 79 full-time-equivalent workers in recent years, while the total labor cost of those workers has increased 21 percent since 2013-14..."" 

Anyone else receive 20% raises over the same time period besides our public employees?",0,-3.7276254292912343,3.7276254292912343
3041,"1} Justice, among other things, means maintaining the Deposit of Faith s it has been taught for nearly two thousand years. 2} Vatican I's PASTOR AETERNUS dogmatically taught that DE FIDE teachings NEVER change, even under the modernist rubric of ""deeper understanding"" or ""development of doctrine"". And ""I notice"" you ""fail to answer"" {rebut}"" the Church's other two dogmatic pronouncements on EENS.",0,-3.7145101493412795,3.7145101493412795
736,"If you are reading this, please consider contacting (and supporting) the citizens conservation organization, Alaskans for Palmer Hayflats State Game Refuge to see how you may help restore this beautiful trail. They worked long and hard to create it, and it will always take dedicated citizens to keep it.",0,-3.7103463138661446,3.7103463138661446
307,I'm sure Elizabeth May is ecstatic.,0,-3.7094254749619324,3.7094254749619324
110,Your arrogance and ignorance are laughable.,1,3.7065168451521524,3.7065168451521524
3275,"Inclusive Excellence? Just wondering... which one will become the determining factor, the adjective or the noun? Inclusive? or Excellence?",0,-3.663682219939288,3.663682219939288
809,"In the interest of time and space, it would be far more informative to simply comment on the promises kept, rather then the ones broken.",0,-3.6569470282505003,3.6569470282505003
3664,I have lived in three different diocese in my 60+ years and never have I heard of lay people being consulted before a bishop is appointed. It may well be the case that a select committee is engaged to the exclusion of us 'little people'. If Pope Francis can make this change in a way that all who wish to comment or give input are permitted to do so that would promote the credibility of the church.,0,-3.650334185732254,3.650334185732254
3693,"The Thoreau quote comes to mind. "" If a man fails to keep pace with his companions, perhaps it is because he hears a different drummer. Let him step to the music that he hears, no matter how measured of far away"".
Canada and the PM is doing just that. The trade deal with the EU is in its final stages and Canada is discussing a trade deal with China. I'm sure we are in for some rocky times but picking a fight with Trump is not going to be to our advantage. If the Republicans in Congress don't rein him, the large US multi-nationals will.  In the meantime, as the author suggests, keep calm and carry on.",0,-3.6470044296525677,3.6470044296525677
3287,"It's about time.

Now, maybe, some of those under-spending seniors Carrick was talking about in one of his recent articles will be willing to spend a bit more.",0,-3.6399481050211797,3.6399481050211797
3356,"In both Greek and Hebrew, the word for ""spirit"" can also be translated ""wind"" or ""breath"".",0,-3.6388087251660957,3.6388087251660957
2359,"Amy's advice is too limited.  Daughter could get a court order naming her as conservator of her mother, thus giving her the power to make changes  she thinks are for her mother's safety.  Of course any other placement, as in a senior facility, would have to be vetted VERY carefully since this means potentially depriving mother of her freedom.

It would seem more sensible to hire a RESPONSIBLE caregiver to live in the home.  Someone who could organize body cleanliness, shopping; all the daily minutiae   Also, the right person could provide  companionship.  I would try this first if my isolated parent were in that situation.",0,-3.6245352583059876,3.6245352583059876
370,"Simply, that when any ""non-profit"" amasses enough property to impact a local real-estate market, it's time to discern whether the organization's stated goals are being adhered to.",0,-3.6175649559555305,3.6175649559555305
187,"You're only sharing one piece of the puzzle cupcake-dad. You're also omitting the fact that certain races are smarter than others as has been proven with SAT scores and IQ's for decades. You can't teach ""stupid"" no matter how much money and how many teachers you throw at ""stupid"" and when almost 50% of the kids in public skool are offspring from ""stupid"", expect dwindling statistics. Let me share a video of ""stupid"" for you...  https://www.youtube.com/watch?v=zggvtLo8c6I",1,3.6089921895794808,3.6089921895794808
720,"From my perspective? 

The company's.

Best of luck in the future.",0,-3.6051409020571006,3.6051409020571006
4444,"No, I am saying that you can listen to Church teachings and I can listen to both Church teaching and my conscience and make up my mind. I don't think some Church teachings come from the Spirit.",0,-3.5952528694221675,3.5952528694221675
2591,I have not expressed any preference as to ambiguity in general. In this particular instance in a Church commanded by Christ Himself to teach a document  on a critical matter - three of the seven sacraments - is being interpreted in at least two diametrically opposed ways. Four of the successors of the Apostles have asked the successor to Peter for clarification as to what he meant on behalf of the other successors to the Apostles for the good of their flocks.,0,-3.5893258472894245,3.5893258472894245
949,"The simplest rule is for the Council members is to remind themselves, however many times it takes, and before each meeting, that they work for the public, who at that moment are represented by the people who have bothered to show up and talk at their meetings.  

Instead, they immediately fall into  ""us versus them"" thinking and feel threatened. 

As far as people who want to talk at those meetings, they need to also consider that resonableness, politeness and respect for the process is an essential part of making oneself heard instead of immediately ignored. Have your say and sit down and let others talk. Leave the signs outside.

Focusing on the minutia of ethics rules is a distraction. Strictly following Roberts Rules of Order is hard enough in small groups, but nearly impossible in public forums. Not everyone understands the details of Robert's rules. The Council would spend most of its time enforcing those rules instead of communicating.",0,-3.580246801951592,3.580246801951592
2506,"funny how companies still locate here like GM in Welland, Kellogg expanding there, more LVA contracts in London for General Dynamics, etc.  More important is location and the quality of the workforce.  Labour is a higher component for most that electricity as they pay a different rate then you or I.  On Wednesday, eight months after GE management announced plans to close its plant in Waukesha, Wis. and build a new facility in Canada, Campion and Welland economic development officer Dan Degazio announced that Welland was selected as the new home for the factory, where reciprocating engines, diesel engine components ...Jun 1, 2016",0,-3.570466675027384,3.570466675027384
536,"Rather than ""disqualify"", shouldn't this say ""raise their income to the point that they will no longer require as much GIS""?",0,-3.5691284187907515,3.5691284187907515
2522,"Up next:

The cross-country 'Thank You Tour II'.",0,-3.5676268520419305,3.5676268520419305
