,X_sentences,Y,Y_decision,Y_confidence
75,"Agreed. I wouldn't call Trump an idiot - just an embarrassingly uninformed, ignorant, inarticulate, bumbling nincompoop. POTUS, in its first 100 days, is fast on its way to losing all credibility.",1,4.478031841612966,4.478031841612966
808,"Are you factoring for differences in constituency (population mainly) or levels and numbers of commitments/obligations?  For example, was there any obligation to investigate/market a gas pipeline back in 1980?",0,-4.477071167852853,4.477071167852853
120,"The p*ssy garbing liar is a racist, bigot, white supremist, nazi, sexist, Impeach, impeach, impeach!",1,4.405426421574287,4.405426421574287
98,"Trump is a vacuous idiot.
And a traitor.",1,4.339255335320882,4.339255335320882
3701,"Marty, the Roman Catholic Liturgy already assigns many parts of the Eucharistic prayer as 'people's parts'. Gloria. Creed. Confession. Our Father. Various responses.

We can assign more if we wish to. The more that people actually participate, the more they are directly involved.",0,-4.326447858925861,4.326447858925861
335,There still must be an audit trail through Exchange Controls indicating why it was approved and by whom.,0,-4.180036993525072,4.180036993525072
642,"It's not too difficult to figure out where we need trees -- everywhere! They cool us, they provide oxygen, they provide fruit and nuts, and they absorb carbon dioxide. As new studies have found, the older the tree, the more carbon dioxide it absorbs. We need to irrigate our trees -- it is water well spent. This prevents desertification, erosion, reduces flood risk, increases wildlife habitat ... and increases the beauty and livability of our city.",0,-4.083597620381726,4.083597620381726
4116,Looks like 35 has become the new 25--as the prime for a men's 100 meter sprinter is supposedly 25 years of age--or 25.4 to be exact.,0,-4.025673623190672,4.025673623190672
3356,"Since ""ex cathedra"" did not exist in Eugene's day, Cantate Domino is not ex cathedra. One can also argue that since Pastor Aeternus (the Vatican I document which defined ex cathedra teaching) said that an ex cathedra teaching ""defines"" something, and Cantate Domino doesn't define anything, it isn't ex cathedra.

The current teaching, as given in Lumen Gentium, is that essentially everyone has at least the possibility of salvation.",0,-4.000861457146496,4.000861457146496
2517,"I didn't say you were stupid.  I said you were paranoid which you admit.  Please show me a citation of Fr Martin's where he is pushing for gay marriage.  Not condemning people for getting married is not 'pushing for gay marriage'.  'Pushing' would be what Church Militant and Life Site News is doing to Fr. Martin, although 'bullying' would be the more accurate description.",0,3.9866666082643896,3.9866666082643896
2183,"Not sure what you are referring to,but in my experience providing housing and food for families in needs certainly does help children.",0,-3.9581778677651114,3.9581778677651114
4024,Thank you for this timely reminder.  It is especially important for homes that are near or above the $1 million Residential A threshold.,0,-3.9372049184070876,3.9372049184070876
244,"This man is such a piece of garbage.


Can you IMAGINE the right wing poutrage if the first black president had done even half of what this clown does?",1,3.931705002076021,3.931705002076021
795,Try nordic skiing! I do a lot of skiing with my Fairbanks family and friends.,0,-3.929853167152361,3.929853167152361
2507,"Back in the early 70's we stressed tested a grade 5 class of boys and girls. Their ages were  a range of 10 and 11. What we found back then was that the fittest kids have oxygen uptakes ( MVO 2) in the high 70's and one was an 81. For perspective for adults, this put some kids in the range of world class middle distance runners or elite cyclists. Since the majority of kids were pre adolescent, this is quite normal. We noticed that once the kids hit high school their oxygen uptakes dramatically decreased. 
So what I'm saying is that if we influence children with regular exercise when their young, then their natural drop off will be less when they hit puberty. 
Picard is right. Kids are meant to move constantly. A 15 minute run/ brisk walk is a start. Not a solution. Everything fitness related starts at home very early. Parents can be a solution . It can start by walking to school, less screen time, more family activities where fitness in normal. Just like the 70's.",0,-3.922532303458599,3.922532303458599
1512,"When my first grandchild died, a Jewish couple sat shiva with my wife and me. They wept with us, to show their concern. This was not emotionalism, this was being fellow mourners. And being true friends.",0,-3.8367503431276786,3.8367503431276786
1378,"""When a language disappears like Latin or Sanskrit""

When did Latin disappear?",0,-3.819272848969227,3.819272848969227
596,"Ah.  Thought it was something substantial like, ""It can shorten my life by x amount of years"" kinda thing.",0,-3.810003868280324,3.810003868280324
1040,Do some more research on your Bible and where it came from/how we got it :),0,-3.804763122656661,3.804763122656661
4005,"Please let us know the basis on which the government has decided not to fund your program. They must have had reason. 
Maybe you could provide web links to your recent climate change research peer reviewed articles so readers could judge their relevance/merit.",0,-3.800398217627304,3.800398217627304
1357,"Yvonne, I have found the traditional faith and discipleship I love, along with familiar liturgy and a sharing of the body and blood of Christ with great reverence, in concert with respect for women, LGBT folks, true welcoming of all, a solemn respect for marriage along with an understanding that sometimes it just doesn't work and the means to begin anew without jumping through hoops to prove that a marriage ""never existed"", not to mention valued participation of members in the election of bishops and representation in policy-making bodies and instant calls to action in unjust circumstances such as we have recently witnessed, in a near relative of the Roman Catholic Church.  It's not my intent to proselytize, but wanted to let you know that we can find a spiritual home that truly speaks to our values and loves - and our consciences.  May you find the peace and joy that the Lord intends for us all.",0,-3.756839169703068,3.756839169703068
2908,"In Indonesia the Catholic Bishops' Conference and the National Council of Churches will be holding joint commemorations next year. Where either Protestants or Catholics are in a large majority they tend to ignore each other. Where they are both minorities in this Muslim nation an ecumenical ""merging"" has been taking place between Calvinist, Lutheran and Catholic traditions and insights. We've had a common Bible since the early 1970s. Quietly, but yes all too slowly, we are becoming one at the local and regional levels.",0,-3.751190006300935,3.751190006300935
144,"Trump is a mentally ill, narcissistic, delusional, sick, perverted, nasty, decrepid 70 year-old man who was so desperate to become relevant, he ran for the presidency, supported by obscure losers even more desperate for relevancy.  

Together they have taken being incredibly stupid to new heights. 

Not what they were going for but because they're stupid, they don't get it.  They prefer ignorance; it's bliss doncha know. 

Hopefully, this will be their last hurrah before they die out.",1,3.7290087291451828,3.7290087291451828
3383,"The Dire Wolf collects his dues, while the boys sing 'round the fire.",0,-3.703839045217566,3.703839045217566
1337,"There always seems to be ""one more important"" thing missing for us to get more out of the Holy Mass.

the homilies
the music
the age of the priest
the noisy children
the form of the liturgy itself
the sound system

never

- the love I don't give or exercise in pursuit of closer unity with Jesus at the Mass
- my lack of preparation before going to Mass (reading the scriptures..readily available on the internet, phone, etc.)
- the reconciliation I didn't pursued at Confession earlier in week, allowing me to get closer to God through this wonderful Sacrament.
-my prayer times I didn't give leading up to Mass
-my lack of prayer immediately upon entering the Sanctuary..praying for the priest, focusing my mind and attention on the Tabernacle, in which My Lord awaits for me and for you.

Something else (outside of me) is always offered as the excuse.

But as Jesus recently told us in the Mass earlier this week..it's what is inside us that makes us unholy, not what is outside of us.",0,-3.7014688052771976,3.7014688052771976
53,"""Racists have the same nature as pedophiles"". Don't forget that the prophet of a particular religion/ideology was a pedophile.",0,3.6991463400185847,3.6991463400185847
461,The fact that Cedric Hayden wants to increase logging and Fergus McLean wants to help restore our public forests and help make them more resilient and stop the sale of the Elliott State forest speaks volumes to me.  McLean for District 7!,0,-3.6853230833389556,3.6853230833389556
209,You slander them with your racist insults.  There is nothing in the group that says they are white supremacists.  They are Western Civilizationists.  You are a bigot and a liar.,1,3.677918437335432,3.677918437335432
2083,The Model 3 will do very well in the market place. The only caveat I see is if there's an expensive recall or many minor recalls. That would erase any profit...,0,-3.6724962457175994,3.6724962457175994
1845,"I would really like to know if he has done a good job and made a positive difference with his PHD.  If he has, I think there might be reason for him to keep it.",0,-3.644170190928124,3.644170190928124
1025,"You're welcome. Maydays are indeed a detriment to native alaskan tree survival, similarly to how me accidentally inhaling a gnat during a bike ride on chester creek trail is a detriment to my survival. Speaking of chester creek trail, how many mature maydays per alaskan trees do you think there are there? 1 in 300? That's in the heart of anchorage with half century or more to compete for dominance. SoulD be plenty of time for an invasive species to take over right? Just look at the pythons in Florida. Maydays simply can't grow tall enough to compete with alaskan trees. It's like trying to pit male and female olympic sprinters against each other. The females are great, but they don't stand a chance because males are naturally stronger and faster. Starting to understand yet? I can break it down further if you need.",0,-3.589708355011342,3.589708355011342
3023,"The parts of the celebration you mention are all outside the Eucharistic Prayer proper.

As to “(w)e can assign more if we wish to”, the Eucharist Prayer itself is for the celebrant only.

The congregation responds to the Sursum Corda and says the Memorial Acclamation only.

This is theologically driven - the priest alone is the celebrant - and has been topic of a number of instructions over the years.",0,-3.587188151896554,3.587188151896554
2580,Vickie is surrounded by the most important thing of all - love!  And you write to eloquently and lovingly about your life together when there must be many many challenges.  God speaks to us about living a Christ-like life through your writing.  Thank you for sharing so deeply.  Blessings.,0,-3.584125396761392,3.584125396761392
2172,"""Outside the Church there is no salvation"" is not dogma.  The only , ONLY dogmatic statements are those contained in the Creed(s) and the two Marian statements.  That's it.  Check any good theology text.
As to who is saved, that's strictly up to God, but I'll give you a little hint.  When Jesus referenced the Last Judgment He didn't mention any dogmas, doctrines, disciplines, rules, or rituals.  He said two things were important (just two): Love God and love your brothers and sisters.  That's it.  That's all.",0,-3.581048794758183,3.581048794758183
2127,Might I suggest that when you publish an oped piece by an outsider (i.e. not a staff member) that you indicate any activities in which the author is involved that might affect the point of view they are expressing and/or create a direct conflict of interest?,0,-3.55402531572115,3.55402531572115
3613,Remember the huge McCarthy's Marsh fire of 1977 north of Golovin? Half the size of Connecticut maybe. I was there two years latter and there still was not much plant life to speak of over a very large area. I would bet it is prime moose habitat today. Lucky for moose it's not too easy to get there....,0,-3.5153210484760073,3.5153210484760073
1804,"How about compassion being a factor in everything? I'm not sure what you're arguing here with regards to compassion, but your response makes me think that we still don't mean the same thing by the word.",0,-3.5085457302447502,3.5085457302447502
1016,"And the Fathers of the Council of Trent remind us:

""And whereas such is the nature of man, that, without external helps, he cannot easily be raised to the meditation of divine things; therefore has holy Mother Church instituted certain rites, to wit that certain things be pronounced in the mass in a low, and others in a louder, tone. She has likewise employed ceremonies, such as mystic benedictions, lights, incense, vestments, and many other things of this kind, derived from an apostolical discipline and tradition, whereby both the majesty of so great a sacrifice might be recommended, and the minds of the faithful be excited, by those visible signs of religion and piety, to the contemplation of those most sublime things which are hidden in this sacrifice.""

Now, if TWO Church Councils take pains to remind us that the sights, sounds, and smells matter in teaching us the Catholic Faith at mass, we ought to pay attention.",0,-3.5078909126881443,3.5078909126881443
