,X_sentences,Y,Y_decision,Y_confidence
1486,"Your account is currently restricted
Due to your continued biased voting, your account is limited to posting one comments per 24-hour restriction period

And here is my comment....

These supposed 'leaders' use words and sentiments rather than action to react unto the murderers that foment their own actions within the murder of innocents.

Why does not Israel suffer these same results though they are within, literally, the middle of nations that support, and reward individuals such as these cowards?

The fault lies within those that are fully aware that said individuals are planning, and capable of said actions, but  do not report it unto the authorities, and therefore are just as culpable as the murderer themselves, and within that extent, every individual that has knowledge of said action should be held just as responsible as the murderer themselves, and judged accordingly, just as the now dead murderer.

There are methods to identify and root out these murderers, and should be taken",1,-0.27970839816739757,0.27970839816739757
988,"My comment to you was removed too.
""Why is it that those who claim to be priests are the most anti-Catholic in this forum?""
A perfectly reasonable question to ask when they publicly reject and even go so far as to mock most of the Church's teaching on Faith and Morals and deny the necessity and efficacy of the very Sacraments they were ordained to effect for the salvation of souls.
How can it be uncivil to ask such a question or is it that some people just don't like the question?",0,-0.2795253041547967,0.2795253041547967
3997,I'm OK with Mr. Trump winning.  It was time for a shakeup down there.,0,0.27902381857830605,0.27902381857830605
760,"Do not forget men had either heard about the abuses or heard the rumours.  Brad Pitt confronted Weinstein regarding his girlfriend at the time, Paltrow.  Also, Jolie experienced inappropriate behavior.  I do not believe Pitt's friends Clooney or Damon were oblivious to the rumors.  Neither do I believe Hillary or Streep were either.  Hollywood is not that big of an industry that when a major power broker repeatedly acts the way he did, it wasn't known.",0,-0.27826343521711316,0.27826343521711316
2211,"Duarte drove Muslims from the cathedral, Mussolini supposedly made trains run on time. 

You are the one ignoring Duarte's extrajudicial murders. Do you approve of them?

Oh, and your standard meaningless sneer shall be ignored with the contempt it deserves.",0,-0.27686087349957234,0.27686087349957234
1747,"Old white male....binned ( Foreign affairs)
Old white male .... binned (Immigration)
Old white female binned ( Labour )",1,-0.2747282041099599,0.2747282041099599
1544,"Isn't amazing how someone gets so rich working as a public servant???

The money isn't coming from her constituents !

You no where it's coming from!! Big corporations!

Wouldn't you love to see her net worth progress every year since her Daddy gave her the job?

Since congress will never vote on term limits, lets do it for them! ""VOTE HER OUT""",0,-0.27435331269984986,0.27435331269984986
614,Its a sad day in America when celebrities think they can influence my opinion of politics  Kathy you make me sick.,0,-0.2743275561272849,0.2743275561272849
2889,Bizarre that you actually think Americans go for McDonalds overseas...,0,-0.274022215665759,0.274022215665759
2992,"Beware the road rager,
Zoomers and weavers, tailgaters and speeders,
Scream and yell you can all go to he** ,
Until they get past you, then they start their snarling and ranting all over again.
Please stay alert and aware on the roadway, for the safety of us all.   jb49",0,-0.2732090616925511,0.2732090616925511
729,"It was deemed to be moral.  The Church, at times, called for the enslavement of various gtoups. Religios orders and clerics owned slaves up to the 1860s. No, the Church most cettsinly approved of it.

Now, in these degenerate times, we see slavery as intrinsically evil.",0,-0.27238016201429294,0.27238016201429294
2645,Slavery was never sanctioned by the Constitution. That can was kicked down the road by founders who held slaves and refused to address what was known by them to be a cancer on the health and well-being of the nation. We seem to be dealing with metastasized slavery in this age. Each of us must confront the effects of racism and institutionalized inequality in all forms and vote accordingly and as often as possible to overcome this sickness not only here in the US but everywhere it is found. Like many battles with cancer the struggle is arduous and success is never a given. But we can never abandon the fight.,0,-0.2717857126409491,0.2717857126409491
2254,"Let's not forget that Margaret Atwood  supported the BQ a few elections ago.  Words cannot describe the disdain I have for that ""woman""",0,0.27113547470308097,0.27113547470308097
2629,"by bigotry against white people.

bigotry against white people come  from other white people of the Left who feel superior to non-left white people

example, Doug Saunders, Justin Trudeau and their moral preening ilk",0,-0.2709638201177127,0.2709638201177127
2302,"Hispanics and Latinos are going to deny tRump the presidency.  Watch and see.  It's not nice to tell a giant voting block that you're going to keep their relatives out of the good old U.S. of A by, laughably, building a wall.  Now who was the Republican president that said, ""Mr. Gorbachov tear down the wall.""",0,0.2707580557868705,0.2707580557868705
3496,"They don't need to ban him, they just need to uninvite him.

And you do get the absurdity in your comment that you are saying they have no legal ground to ban Trump but imply that you believe Trump is not wrong to ban Muslims from a bunch of countries, don't you?",0,0.2703771478172805,0.2703771478172805
172,"""Time to go sit at my hero's feet.  Trump's Washington here I come.""  Reform Conservatives love that guy which is about all that needs to be said about why there can never be a Conservative government in power while Trump is still haunting the USA.",0,-0.27005171325294586,0.27005171325294586
1906,"Doesn't ""Uncle Turk"" look like a kind and innocent guy? Full of Aloha. The reality is this perp should sell his promotions for at least 20 years to people he can really trust. Mainly men.",0,-0.2698067977777596,0.2698067977777596
3970,What the courts have repeatedly decided is that the university's kangaroo court is legal and men have ZERO rights when it comes to sexual misconduct accusations.,0,-0.2697346583717528,0.2697346583717528
1789,"""And you, are what...defending The Muslims of America?""
No, I am not and, yes, I read your post.  I don't have any issue with anything but the clearly erroneous part.  Why should I ""respond to that"" when it makes no difference to me?  It is a simple matter of you stating incorrectly that, ""we cannot question Muslims."" I suggest you not blow things out of proportion and make it seem like you take personal offense to being questioned or disagreed with on such a small thing.",0,-0.2696779465078061,0.2696779465078061
3482,"Simply, your parents were not brought here against their will. Has to do with character not skin color? Says the white man to the black man. What happens when regardless of skin color, regardless of family, regardless of ancestry, regardless of societal stance, regardless of who your parents are, were or what they did and had to do, you are judged and mistreated and made to feel lesser because of the skin god chose for you? I would say that black people are more faithful, prayerful, and bow to the glory of god, more than any white person I've ever met, even though they've been beaten, murdered, raped and slaughtered in the name of god. Think about it.",1,0.26958920822073695,0.26958920822073695
3844,"Short of General Mattis none of them would be considered ""champions"" for the middle class who get up every day; go to work and try to keep their head above water. The DOW might soar some and corporate profits might rise but that ""warm trickle"" down ain't gonna be what they were expecting.",0,-0.2691732412771266,0.2691732412771266
2855,It's too early in the season for a fake Santa Claus.  tRump had to take a morning after pill before he started handing out political gifts.  I heard some people walked away from him and said they'd rather starve.,0,-0.26912571743286495,0.26912571743286495
2962,"Precision Manuals makes a very realistic 747 and 737 sim for FSX, but it's still nowhere as realistic as a full FAA certified Level-D simulator.  If you are a simmer and want realism though, PMDG sets the bar. http://www.precisionmanuals.com",0,-0.26865899487980016,0.26865899487980016
3809,Brah...HONOLULU “intelligence” section. Nuff said!,0,0.26712191181540357,0.26712191181540357
379,"And many of those on your right and left that you depended on were TG or gay and you didn't know it.  And they served you well.
I think the problem is that when people think of TG in the military they see Klinger in MASH.

CW3, USA Ret",0,0.2667685489924154,0.2667685489924154
1456,He wants tax cuts and he cut the funding for FEMA while people are drowning. Real leadership. The man is a egotistical maniac and the sooner someone stops him the better.,0,0.26617781603372004,0.26617781603372004
2877,"Perhaps more Fentanyl is a solution to Seattle's junkie problem. 
More Fentanyl laced heroin = fewer junkies at Pioneer Square.

Anything that reduces the number of junkies has my support.",0,-0.2651941086681666,0.2651941086681666
2325,"Please Tell ALL Americans to Save America  to  STOP Sanctuary Cities  and STOP ""ILLEGAL undocumented Immigration.  Please SUPPORT VICTIMS and their FAMILIES KILLED by ILLEGAL Undocumented Immigrants in America.  STOP DACA.  Thank GOD for President Trump in Supporting Victims and their Families,   and Trying to STOP Sanctuary cities.   Victims and their FAMILIES have been getting KILLED and MURDERED for YEARS even before President Trump thought of running for President.

Ann Coulter book called  ""Adios America""  should have been written YEARS Ago. This country can NOT protect its citizens and its border.  

Democrats and others who Support ILLEGAL undocumented immigration are Responsible for the Deaths of Victims.   ILLEGAL Immigrants should take the JOB, CAREERS, and Businesses of Democrats and others who support them. Please Support Victims and ALIPAC   and  OJJPAC. 

Why does Israel have a Wall? Try telling Israel to Tear Down the Wall.

American is being Invaded by Illegal aliens.",0,-0.2645333262287264,0.2645333262287264
4503,The way a person chooses to fight or not fight their health issues is nobodys business but their own. Alohas wrapped in evil thoughts are not fooling anybody. Quit with the low blows and just be woman enough to say what you will.,0,0.2639572189346544,0.2639572189346544
1022,"Agreed the military and how to treat transgendered soldiers is important.  The problem is that Trump is listening to his evangelical advisers, not his generals and military experts.

When Trump made his original announcement his military advisers were caught completely flat footed because he had never discussed the matter with them.  However, he had discussed it with the group of right wing evangelicals he ""consults"" with some two weeks earlier.

The nicest thing that can be said about this policy is that it's more red meat for the evangelicals that support him.",0,-0.2622125069816299,0.2622125069816299
1397,"""Mention sexism, and it being factual or not and all the wife beaters and abusers come out of the woodwork to attack.""

This is a perfect example of what is wrong with SJW's, if you are skeptical that the reason a politician quits is sexism you are deemed a ""wife beaters and abusers"". And let's note for the record that frequent poster Alceste has liked the sentiment expressed in that single sentence comment.",0,0.2615173122230061,0.2615173122230061
3883,Hugh - Putin did America a favor by exposing the graft and corrupt in the (D)onkey party and the HRC campaign.   You should be grateful they kept those crooks out of the White House.,0,-0.2606434975419254,0.2606434975419254
1399,Was she white?,0,-0.2604430378165563,0.2604430378165563
2765,"boots, you are suffering from histrionic personality disorder.",0,-0.26038927105590925,0.26038927105590925
4217,"No-one knows where the truth lies here. This story is being spread by the notorious propagandist Bilal Abdul Kareem.  He calls himself a journalist and is a US citizen (Muslim convert) yet he roams freely through terrorist territory celebrating jihad in terrorist interviews. He is on a US kill list and was targeted unsuccessfully by a drone strike a few days ago.
The ""White Helmets"" have been exposed as fake. Many articles by reputable journalists have shown them to be terrorist members of al Nusra who simply put on the helmets when a propaganda event is being filmed. Go to real journalists like Eva Bartlett, Vanessa Beeley, and even Hawaii senator Tulsi Gabbard for more details. 
There is not a single reputable source on the ground in IdLib, yet the G&M swallows this story hook, line and sinker. There is not even an acknowledgement that the sources cannot be verified. 
Citizens in IdLib are under the same fundamentalist opression as in Mosul and Raqqa. It is ISIS by any other name.",0,-0.25982722245782264,0.25982722245782264
1189,"America’s most notorious serial killers, striking fear as their body counts mount, have almost always turned out to be white, and gruesome beyond imagining. Albert DeSalvo, the Boston Strangler, terrorized his city in the 1960s, sexually assaulting and murdering thirteen women. David Berkowitz, New York City’s “son of Sam,” killed six and wounded seven in the late 1970s, terrifying the city until his apprehension.Ted Bundy, who called himself “the most coldhearted son of a bitch you’ll ever meet,” confessed to thirty murders in the 1970s. Chicago serial killer John Wayne Gacy, who dressed as a clown and performed at children’s hospitals, murdered thirty-three teenaged boys and young men in the 1970s, burying twenty-seven in the crawl space under his house.",0,0.25941371028567684,0.25941371028567684
377,"Because Kimmel has a beef with the healthcare bill, we should watch him? Huh? Maybe some of us should have a beef with the salary he makes for spouting drivel...he could almost support healthcare single-handedly in any small town.",0,0.2591900794673543,0.2591900794673543
3101,"When I saw the 1st video feeds of the incident depicting a black man as a victim in the crowd my 1st though was of Al, Jesse, Fredrica, etc. coming out of the woodworks to jaw their racial lines. I heard Barry having said a line of the tragedy and was waiting for his racial divide quotes. I think these Racists were ready to pounce on Racial lines and are wait'n for the next tragedy as are BLM, Antifa, etc.",0,0.25848092439878334,0.25848092439878334
1109,He was going to lose his re election bid for governor of Indiana and now he is VP. He admitted earlier in his career to using campaign money to pay off debts and his mortgage which is not illegal but unethical. He tried to sign a law in Indiana that would make it okay to refuse any service to gay people and also to allow employers to fire people because they are gay. What rock did they find this guy under. Cannot be in a room with women if wife isn't present. It's a good thing for him he is under the thumb of the Koch Brothers.,1,-0.25773345031434225,0.25773345031434225
1402,"People: it's 2017. We should all know by now that the telling by a white man of an aboriginal story is ""cultural appropriation"" and deeply offensive to aboriginal communities.

How short everyone's memories are! Do you not all remember the big stink that erupted last fall when Gord Downie, a white man, released his latest album, an act of cultural appropriation called ""Secret Path""?! This album tells the story of Chanie Wenjack, a young Anishinaabe boy who died in 1966 after running away from an Indian residential school.

Do you not remember the calls for boycotts, for an apology?! Actually, neither do I.",0,0.25535292760896455,0.25535292760896455
2819,"The Russian's certainly have found their ""useful idiots"" in the Trumps and their inner circle. For those that fervently ""believe' that this is all made up by the MSM,  I will recommend a tool that I use daily: Occam's razor.  It is sharp, so it will shred nonsense into little rhetorical chaff.  ""Among competing hypotheses, the one with the fewest assumptions should be selected.""

The MSM reports on what Trump has said or has tweeted and also gives the various Trump surrogates to trumpet (sorry could not resist ;) and interpret the President's words. 

All of the MSM is reporting fake news is the explanation for reporting on Trump put forth by the Trump supporters.  What is the simplest explanation for the MSM reporting the same things about Trump? This is explained by
1) Collusion, conspiracy and coordination between different news organisations on Web, TV and print media. 
2) The news as reported, is true.

Between explanation 1 and 2, what is the most simple?",1,0.2533277887433152,0.2533277887433152
66,Value Voters ??!!?? Since when is the Eighth Commandment not a Judeo-Christian value. Someone needs to tell the so called value voters their hero is a relentless liar.,1,-0.2524895440527477,0.2524895440527477
2784,"Some are very naive. The priests well know that if they stick their head up, like a nail in a board, it will get hammered down. No priest who cares about his ""career"" is going to comment publicly on this letter unless they are eager for a transfer to eecclesial Siberia.  They will solomnly nod their heads while saying ""Of course, Your Eminence"" and keep their real thoughts to themselves. They would not be treated nearly as well as  priests who molested kids were treated by their bishops.",0,-0.25203118136680835,0.25203118136680835
42,"This woman has learned well from JZ - do what you want, regardless, and remove whoever stands in your way.  She should have been fired at the outset but of course is protected by the four presidents.  Yet another disgrace.  The country is reeling like a drunk on pay day - battered from all sides with a new revelation every single day.  One has to wonder where it will end.  One has to wonder what it will take to remove all these gangsters.  Same s*** different day certainly applies.",0,-0.2516278553622098,0.2516278553622098
1610,"I suppose I am ""liberal"" too, at least as viewed by my Republican friends, and I agree that total compensation of roughly a quarter of a million dollars is too much. I'm amused that a bunch of conservative commissioners are the ones handing it out, though. 

People who aren't total sheep realize that politicians of every stripe love to tax and spend. The only difference is that the left wants to shift more taxation to the wealthy while the right wants to shift it to the middle and lower classes.",0,-0.2499516613386994,0.2499516613386994
2321,"If, as you say, Islam made Mateen a killer and Christianity made Dear a killer, then lets add up all the names of killers that Islam and Christianity has made since about 1950. Christianity would have a fairly short list on one page, while Islam would fill how many pages? Lets be fair, the terrorists doing the killing in the name of Islam are a very small, extreme sect of the Muslim faith. The vast majority of Muslims are peaceful, very quiet people who have the same concerns as all of humanity. They are also targeted quite heavily by the Islamic extremists. They are not to blame for these extremists actions. Just as Christians are not to blame for the actions of an occasional extremist, nut job Christian.",0,0.24986929497138366,0.24986929497138366
4492,"Carry on accusing white people of cultural appropriation but stop using everything, I mean everything, that white culture has brought you. Cars, planes, telephones and the computers you write on would be a start. 

What a load of hogwash this CA debate is and it's a shame someone like Kay loses his job over it.",0,0.24916471563529408,0.24916471563529408
2880,"For the avowed Christians who support Trump and his policies. We know that a pre requisite for attaining office here in America, is to bray out the loudest that you are a Christian and only you have the inside track to the white mans jesus. We know the jesus was a refugee, fleeing guaranteed murder by a Roman Empire propped up despot. That he lived and breathed to help the sick, weak, poor, diseased, infirm, hungry and the dying, and he kicked out the moneylenders out of the temples. Today the Christian politicians are in bed with the same kind of moneylenders that their jesus kicked out. They are busy defunding the health and social programs that helps the sick,weak, poor, infirm, hungry, diseased and the dying, and instead, are giving the money to the same kind of moneylenders that their jesus kicked out.
Where do the souls of these corrupt politicians go? Purgatory?Hell? Heaven? Where do the souls of their supporters go also, that push for draconian measures against the unfortunate?",0,0.24832207393004513,0.24832207393004513
3286,"Don't we all wonder that, Jeff.",0,-0.2468493955957869,0.2468493955957869
