,X_sentences,Y,Y_decision,Y_confidence
1122,"The SDA church is predicated on the presumption of voluntary participation.

Unfortunately, the longer one remains in any leadership role, the greater the temptation becomes to develop a sense of entitlement.  This is true both individually and institutionally.  And it applies with especial vengeance to those who ascend to the higher tiers of an organization.

In this regard, I find the various studies that seek to streamline church operations, that tend to focus on how to reduce overhead at the local conference level, to be missing the mark.  

(continued)",0,-4.485627835924449,4.485627835924449
791,"""""I would make it clear that not all discussions of doctrinal, moral or pastoral issues need to be settled by interventions of the magisterium. ""

I think this depends on an understanding of the English language verb ""settled;"" accepting that this sentence was almost certainly not drafted in English originally.

""...doctrinal, moral or pastoral issues need to be settled by interventions of the magisterium. Unity of teaching and practice is certainly necessary in the Church, ...""

I warm much more to the start of this second sentence when it comes to things mentioned specifically by Christ in the Gospel.

""...Unity of teaching and practice is certainly necessary in the Church, but this does not preclude various ways of interpreting some aspects of that teaching or drawing certain consequences from it. ""

Now I am just confused. To be blunt, the second part contradicts the first. I think it's an oxymoron. But it isn't coherent or rational; whether voiced in porteño or in classical Latin",0,-4.4442330194687525,4.4442330194687525
3408,"Since ""ex cathedra"" did not exist in Eugene's day, Cantate Domino is not ex cathedra. One can also argue that since Pastor Aeternus (the Vatican I document which defined ex cathedra teaching) said that an ex cathedra teaching ""defines"" something, and Cantate Domino doesn't define anything, it isn't ex cathedra.

The current teaching, as given in Lumen Gentium, is that essentially everyone has at least the possibility of salvation.",0,-4.415541970060994,4.415541970060994
3062,"I do appreciate that some Protestant denominations hold views along the lines of what you outline, and apparently hold them in sincerity. I have studied the gospels, the Acts of the Apostles, and the Epistles and have found their views, and yours, completely unconvincing.

Since the only source of the Scriptures themselves, in fact, is through the Church, those views pretty much cut the ground out from any credibility of the Christian texts. I would be as well off learning Old Avestan and reciting the 72 chapters of the Yasna.",0,-4.236262662372058,4.236262662372058
1381,"There always seems to be ""one more important"" thing missing for us to get more out of the Holy Mass.

the homilies
the music
the age of the priest
the noisy children
the form of the liturgy itself
the sound system

never

- the love I don't give or exercise in pursuit of closer unity with Jesus at the Mass
- my lack of preparation before going to Mass (reading the scriptures..readily available on the internet, phone, etc.)
- the reconciliation I didn't pursued at Confession earlier in week, allowing me to get closer to God through this wonderful Sacrament.
-my prayer times I didn't give leading up to Mass
-my lack of prayer immediately upon entering the Sanctuary..praying for the priest, focusing my mind and attention on the Tabernacle, in which My Lord awaits for me and for you.

Something else (outside of me) is always offered as the excuse.

But as Jesus recently told us in the Mass earlier this week..it's what is inside us that makes us unholy, not what is outside of us.",0,-4.2251671023267505,4.2251671023267505
3659,"I will admit that this is easier to understand in terms of unity of teaching with variety in application, but we are a sacramental church, so unity of practice should be doable. I'm not sure I am up to it, but maybe somebody is.
Take the Eucharist. For 1500+ years it was explained in terms of pre-Christian religious ritual, like sacrifice and altars. The final stage in a sacrifice is the sharing of the victim to enable a distribution of the numinous among the believers.
The same ritual can be reinterpreted from a different perspective. Instead of the sacrifice as explanatory key, the meal can be understood as Christ's purpose. Christ died so that we can share in his life. The concluding communal meal is a more effective key today than the rarely experienced ritual sacrifice, in a Church based on communion.
One event, understood in two ways, can easily become two different ways of experiencing a common practice. I guess i could have just said Extraordinary and ordinary forms coexist.",0,-4.218494376689179,4.218494376689179
3645,"What are the odds that,whatever happens in court, the delays will find ways of continuing?",0,-4.213421301364705,4.213421301364705
2969,"In Indonesia the Catholic Bishops' Conference and the National Council of Churches will be holding joint commemorations next year. Where either Protestants or Catholics are in a large majority they tend to ignore each other. Where they are both minorities in this Muslim nation an ecumenical ""merging"" has been taking place between Calvinist, Lutheran and Catholic traditions and insights. We've had a common Bible since the early 1970s. Quietly, but yes all too slowly, we are becoming one at the local and regional levels.",0,-4.19676035327891,4.19676035327891
840,"The reason why Eucharist Prayers in the Catholic, Orthdox, and non-Chalcedonian communions are not designed for congregational participation is that theologically the congregations are not the priest-celebrants.

The entire notion of ""draw(ing) people in"" is contained in the prayers, readings, and responses prior to the Eucharist Prayer and the prayers of thanksgiving afterwords.",0,-4.183263836067523,4.183263836067523
4047,"Please let us know the basis on which the government has decided not to fund your program. They must have had reason. 
Maybe you could provide web links to your recent climate change research peer reviewed articles so readers could judge their relevance/merit.",0,-4.1564264887027065,4.1564264887027065
